node,phase,samples,mean_running,max_waiting
sweden,pre,292,6.924657534246576,12.0
sweden,post,254,0.0,0.0
sweden,migration,279,7.67741935483871,0.0
sweden,barrier,30,4.866666666666666,0.0
sweden,sleep,174,0.0,0.0
east,pre,62,2.532258064516129,0.0
east,post,53,2.9056603773584904,4.0
east,migration,58,2.8275862068965516,4.0
east,barrier,7,3.0,4.0
east,sleep,36,2.9722222222222223,4.0
germany,pre,154,2.7337662337662336,0.0
germany,post,130,2.8923076923076922,4.0
germany,migration,142,2.8661971830985915,4.0
germany,barrier,16,2.875,4.0
germany,sleep,88,2.9431818181818183,4.0
