node,phase,samples,mean_power_w,median_power_w
sweden,pre,316,269.6349683544304,285.88
sweden,post,271,107.8409225092251,107.25
sweden,migration,296,188.6204391891892,164.515
sweden,source_fall,217,119.49036866359447,110.5
east,pre,315,151.10955555555557,137.29
east,post,271,154.89616236162362,138.95
east,migration,297,148.56814814814814,138.6
east,source_fall,216,157.86828703703705,138.79500000000002
germany,pre,316,150.13639240506328,139.035
germany,post,271,164.570073800738,147.95
germany,migration,296,155.07010135135135,142.20499999999998
germany,source_fall,217,160.123732718894,145.42
