action,count,policy
east_replay,5,replan
east_kv_transfer,1,replan
germany_replay,3,replan
germany_kv_transfer,0,replan
not_moved,6,replan
east_replay,4,no_replan
east_kv_transfer,1,no_replan
germany_replay,7,no_replan
germany_kv_transfer,3,no_replan
not_moved,0,no_replan
