policy,shed_w,time_s
replan,0.0,0.0
replan,2.19802369921274,3.121172285
replan,3.675433759280537,3.180155578
replan,9.291843690069413,3.349183712
replan,14.90825362085829,3.43814114
replan,15.519691463833226,5.123985328
replan,18.14646833880269,17.027128114
replan,21.733509449240785,17.266368335
replan,24.144552889917122,17.266822138
replan,34.28728063226477,17.498463655
replan,34.28728063226477,90
no_replan,0.0,0.0
no_replan,1.4774100600677968,3.069561006
no_replan,3.675433759280537,3.127364323
no_replan,9.291843690069413,3.362082481
no_replan,14.90825362085829,3.390746607
no_replan,15.519691463833226,5.041794163
no_replan,18.14646833880269,13.212195165
no_replan,21.733509449240785,13.324115548
no_replan,30.89914916551328,13.84065218
no_replan,34.28728063226477,21.702492197
no_replan,38.94541057517755,37.414643462
no_replan,40.41027762185762,49.278600504
no_replan,45.06840756477038,51.567890318
no_replan,46.53327461145048,84.962094267
no_replan,47.833280408143224,113.584514329
no_replan,49.13328620483598,141.034124299
