monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
3193173134231,1786468459651797692,115.49,100.0,89111.0
3193296489216,1786468459775152917,116.17,100.0,89111.0
3193419311917,1786468459897975718,115.53,93.0,89111.0
3193542478741,1786468460021142422,115.49,100.0,89111.0
3193666320110,1786468460144983851,115.78,100.0,89111.0
3193789560585,1786468460268224496,115.46,100.0,89111.0
3193912740079,1786468460391403770,115.35,100.0,89111.0
3194035726191,1786468460514389952,116.12,100.0,89111.0
3194158716043,1786468460637379804,116.31,100.0,89111.0
3194281857642,1786468460760521393,117.04,100.0,89111.0
3194405016610,1786468460883680411,116.12,100.0,89111.0
3194528218899,1786468461006882460,116.78,100.0,89111.0
3194651213211,1786468461129876892,117.33,100.0,89111.0
3194774345850,1786468461253009521,118.76,100.0,89111.0
3194898082509,1786468461376746170,117.36,100.0,89111.0
3195021315663,1786468461499979334,116.91,100.0,89111.0
3195144667434,1786468461623330995,119.47,100.0,89111.0
3195267603600,1786468461746267441,117.37,100.0,89111.0
3195390727599,1786468461869391250,119.84,100.0,89111.0
3195513853707,1786468461992517408,120.03,100.0,89111.0
3195636638583,1786468462115302174,118.46,100.0,89111.0
3195759413538,1786468462238077369,120.84,100.0,89111.0
3195882479956,1786468462361143537,119.25,100.0,89111.0
3196005756806,1786468462484420477,121.75,100.0,89111.0
3196129181026,1786468462607844697,121.16,100.0,89111.0
3196252829439,1786468462731493120,120.43,100.0,89111.0
3196375586805,1786468462854250376,121.55,100.0,89111.0
3196498908795,1786468462977572406,119.98,100.0,89111.0
3196622353496,1786468463101017087,119.53,100.0,89111.0
3196745354183,1786468463224017844,119.76,100.0,89111.0
3196868618443,1786468463347282244,117.54,100.0,89111.0
3196991909213,1786468463470572784,120.17,100.0,89111.0
3197114844860,1786468463593508651,117.68,100.0,89111.0
3197237936033,1786468463716599604,119.32,100.0,89111.0
3197361178307,1786468463839841938,119.86,100.0,89111.0
3197484272290,1786468463962935861,120.46,100.0,89111.0
3197607568625,1786468464086232446,117.37,100.0,89111.0
3197730676387,1786468464209340218,119.82,100.0,89111.0
3197853807139,1786468464332470810,124.62,100.0,89111.0
3197977151623,1786468464455815284,120.63,100.0,89111.0
3198100310186,1786468464578973867,122.22,100.0,89111.0
3198223205166,1786468464701868837,120.98,100.0,89111.0
3198346206097,1786468464824869808,120.35,100.0,89111.0
3198469107548,1786468464947771129,121.26,100.0,89111.0
3198592377316,1786468465071040967,119.57,100.0,89111.0
3198715266006,1786468465193929767,119.98,100.0,89111.0
3198838531604,1786468465317195425,117.59,100.0,89111.0
3198961486910,1786468465440150711,116.92,100.0,89111.0
3199084698808,1786468465563362369,120.36,100.0,89111.0
3199208057447,1786468465686720908,119.62,100.0,89111.0
3199331518277,1786468465810181888,119.02,100.0,89111.0
3199454966777,1786468465933630558,120.0,100.0,89111.0
3199578141465,1786468466056805066,120.82,100.0,89111.0
3199701848377,1786468466180511958,116.8,100.0,89111.0
3199825317777,1786468466303981498,119.08,100.0,89111.0
3199948504325,1786468466427167986,120.97,100.0,89111.0
3200072092016,1786468466550755577,116.25,100.0,89111.0
3200194798900,1786468466673462461,119.6,100.0,89111.0
3200317816446,1786468466796480277,120.68,100.0,89111.0
3200441252276,1786468466919915847,117.61,100.0,89111.0
3200564585655,1786468467043249336,118.93,100.0,89111.0
3200688252247,1786468467166916028,117.38,100.0,89111.0
3200811692207,1786468467290355988,117.89,100.0,89111.0
3200934960905,1786468467413624586,117.48,100.0,89111.0
3201058125088,1786468467536788869,117.23,100.0,89111.0
3201181442642,1786468467660106503,118.57,100.0,89111.0
3201304705260,1786468467783368911,117.1,100.0,89111.0
3201428692909,1786468467907356580,114.11,100.0,89111.0
3201552130694,1786468468030794505,118.25,100.0,89111.0
3201675466969,1786468468154130550,116.81,100.0,89111.0
3201799306647,1786468468277970298,114.75,100.0,89111.0
3201922612941,1786468468401276592,117.44,100.0,89111.0
3202045930374,1786468468524594025,117.74,100.0,89111.0
3202169124047,1786468468647787798,114.73,100.0,89111.0
3202292327500,1786468468770991071,118.57,100.0,89111.0
3202415978137,1786468468894641738,119.6,100.0,89111.0
3202539426412,1786468469018090143,117.1,100.0,89111.0
3202662858757,1786468469141522328,118.21,100.0,89111.0
3202786428377,1786468469265092068,116.82,100.0,89111.0
3202910182710,1786468469388846271,120.56,100.0,89111.0
3203033472479,1786468469512136170,118.37,100.0,89111.0
3203156862108,1786468469635525699,116.83,100.0,89111.0
3203279990355,1786468469758654087,116.8,100.0,89111.0
3203403452915,1786468469882116726,115.96,100.0,89111.0
3203526739364,1786468470005403085,113.66,100.0,89111.0
3203649932812,1786468470128596623,117.2,100.0,89111.0
3203773333072,1786468470251996733,115.32,100.0,89111.0
3203896553450,1786468470375217021,114.66,100.0,89111.0
3204019960679,1786468470498624250,116.21,100.0,89111.0
3204143689581,1786468470622353352,116.5,100.0,89111.0
3204267128451,1786468470745792032,114.9,100.0,89111.0
3204390408250,1786468470869072071,116.1,100.0,89111.0
3204514199523,1786468470992863264,116.61,100.0,89111.0
3204637619703,1786468471116283284,115.27,100.0,89111.0
3204761079383,1786468471239743134,117.31,100.0,89111.0
3204884044958,1786468471362708549,115.82,100.0,89111.0
3205007155625,1786468471485819446,117.05,100.0,89111.0
3205130077881,1786468471608741572,117.28,100.0,89111.0
3205252914076,1786468471731577637,116.37,100.0,89111.0
3205376617718,1786468471855281619,119.12,100.0,89111.0
3205499803975,1786468471978467656,115.57,100.0,89111.0
3205623135544,1786468472101799115,117.43,100.0,89111.0
3205746263130,1786468472224926871,118.27,100.0,89111.0
3205869928475,1786468472348592146,117.12,100.0,89111.0
3205993037334,1786468472471701155,120.01,100.0,89111.0
3206116517246,1786468472595180947,118.6,100.0,89111.0
3206239950188,1786468472718613979,117.25,100.0,89111.0
3206363180119,1786468472841843790,118.72,100.0,89111.0
3206486247458,1786468472964911119,117.8,100.0,89111.0
3206610302895,1786468473088966566,117.68,100.0,89111.0
3206733633226,1786468473212297137,118.78,100.0,89111.0
3206857132979,1786468473335796810,119.37,100.0,89111.0
3206979944986,1786468473458608717,117.52,100.0,89111.0
3207103290447,1786468473581954118,120.47,100.0,89111.0
3207227097153,1786468473705760944,122.27,100.0,89111.0
3207350360663,1786468473829024374,121.05,100.0,89111.0
3207473665614,1786468473952329305,122.04,100.0,89111.0
3207597326348,1786468474075990019,120.05,100.0,89111.0
3207720458038,1786468474199121609,120.49,100.0,89111.0
3207843757298,1786468474322420989,122.28,100.0,89111.0
3207967446438,1786468474446109999,120.54,100.0,89111.0
3208090256855,1786468474568920656,122.31,100.0,89111.0
3208213176333,1786468474691840124,119.58,100.0,89111.0
3208336396703,1786468474815060434,117.0,100.0,89111.0
3208459902326,1786468474938565897,122.1,100.0,89111.0
3208583301412,1786468475061965183,119.21,100.0,89111.0
3208706617658,1786468475185281469,119.89,100.0,89111.0
3208830114081,1786468475308777802,120.04,100.0,89111.0
3208953426602,1786468475432090373,119.21,100.0,89111.0
3209076720563,1786468475555384304,117.61,100.0,89111.0
3209199781442,1786468475678445113,118.88,100.0,89111.0
3209323575447,1786468475802239148,121.14,100.0,89111.0
