case_id,policy,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
constraint/quota-30,queue_haul_lp,0.6666666666666666,30,90,27.78069905249266,True
constraint/quota-30,queue_haul_greedy,0.6666666666666666,30,90,28.759249035917556,True
constraint/quota-30,independent_fastest,0.6666666666666666,30,90,,False
constraint/quota-30,replay_only,0.6666666666666666,30,90,,False
constraint/quota-30,kv_only,0.6666666666666666,30,90,,False
constraint/quota-30,power_blind,0.6666666666666666,30,90,,False
constraint/quota-30,deadline_blind,0.6666666666666666,30,90,67.49352709194375,False
constraint/window-19,queue_haul_lp,0.6666666666666666,30,90,25.487467093681246,True
constraint/window-19,queue_haul_greedy,0.6666666666666666,30,90,26.387643641159478,True
constraint/window-19,independent_fastest,0.6666666666666666,30,90,27.660050045890518,True
constraint/window-19,replay_only,0.6666666666666666,30,90,29.909586894143075,True
constraint/window-19,kv_only,0.6666666666666666,30,90,27.562746476326563,True
constraint/window-19,power_blind,0.6666666666666666,30,90,29.851396134458476,True
constraint/window-19,deadline_blind,0.6666666666666666,30,90,53.7188588937601,False
constraint/window-30,queue_haul_lp,0.6666666666666666,30,90,27.384523579786816,True
constraint/window-30,queue_haul_greedy,0.6666666666666666,30,90,27.636280670103634,True
constraint/window-30,independent_fastest,0.6666666666666666,30,90,29.959962169872636,True
constraint/window-30,replay_only,0.6666666666666666,30,90,,False
constraint/window-30,kv_only,0.6666666666666666,30,90,,False
constraint/window-30,power_blind,0.6666666666666666,30,90,,False
constraint/window-30,deadline_blind,0.6666666666666666,30,90,67.49368144710175,False
constraint/window-60,queue_haul_lp,0.6666666666666666,30,90,28.26031632251628,True
constraint/window-60,queue_haul_greedy,0.6666666666666666,30,90,28.26031632251628,True
constraint/window-60,independent_fastest,0.6666666666666666,30,90,,False
constraint/window-60,replay_only,0.6666666666666666,30,90,,False
constraint/window-60,kv_only,0.6666666666666666,30,90,,False
constraint/window-60,power_blind,0.6666666666666666,30,90,,False
constraint/window-60,deadline_blind,0.6666666666666666,30,90,50.44903001036277,False
separation/east-service-slow-path,queue_haul_lp,0.6666666666666666,30,90,,False
separation/east-service-slow-path,queue_haul_greedy,0.6666666666666666,30,90,27.423132294376785,True
separation/east-service-slow-path,independent_fastest,0.6666666666666666,30,90,29.959962169872636,True
separation/east-service-slow-path,replay_only,0.6666666666666666,30,90,,False
separation/east-service-slow-path,kv_only,0.6666666666666666,30,90,,False
separation/east-service-slow-path,power_blind,0.6666666666666666,30,90,,False
separation/east-service-slow-path,deadline_blind,0.6666666666666666,30,90,67.49370717296142,False
separation/germany-service,queue_haul_lp,0.6666666666666666,30,90,27.768796374565586,True
separation/germany-service,queue_haul_greedy,0.6666666666666666,30,90,28.100874767491568,True
separation/germany-service,independent_fastest,0.6666666666666666,30,90,,False
separation/germany-service,replay_only,0.6666666666666666,30,90,,False
separation/germany-service,kv_only,0.6666666666666666,30,90,,False
separation/germany-service,power_blind,0.6666666666666666,30,90,,False
separation/germany-service,deadline_blind,0.6666666666666666,30,90,69.30094493787696,False
separation/joint-shaped,queue_haul_lp,0.6666666666666666,30,90,28.3228423067528,True
separation/joint-shaped,queue_haul_greedy,0.6666666666666666,30,90,,False
separation/joint-shaped,independent_fastest,0.6666666666666666,30,90,,False
separation/joint-shaped,replay_only,0.6666666666666666,30,90,,False
separation/joint-shaped,kv_only,0.6666666666666666,30,90,,False
separation/joint-shaped,power_blind,0.6666666666666666,30,90,,False
separation/joint-shaped,deadline_blind,0.6666666666666666,30,90,60.45750544689747,False
hardware_gap/all-bind,queue_haul_lp,0.6666666666666666,30,90,28.3228423067528,True
hardware_gap/all-bind,queue_haul_greedy,0.6666666666666666,30,90,,False
hardware_gap/all-bind,independent_fastest,0.6666666666666666,30,90,,False
hardware_gap/all-bind,replay_only,0.6666666666666666,30,90,,False
hardware_gap/all-bind,kv_only,0.6666666666666666,30,90,,False
hardware_gap/all-bind,power_blind,0.6666666666666666,30,90,,False
hardware_gap/all-bind,deadline_blind,0.6666666666666666,30,90,63.18699600539985,False
hardware_gap/all-release,queue_haul_lp,0.6666666666666666,30,90,27.384523579786816,True
hardware_gap/all-release,queue_haul_greedy,0.6666666666666666,30,90,27.6363549029642,True
hardware_gap/all-release,independent_fastest,0.6666666666666666,30,90,29.959962169872636,True
hardware_gap/all-release,replay_only,0.6666666666666666,30,90,,False
hardware_gap/all-release,kv_only,0.6666666666666666,30,90,,False
hardware_gap/all-release,power_blind,0.6666666666666666,30,90,,False
hardware_gap/all-release,deadline_blind,0.6666666666666666,30,90,67.49370717296142,False
hardware_gap/free-bandwidth,queue_haul_lp,0.6666666666666666,30,90,28.259733867495065,True
hardware_gap/free-bandwidth,queue_haul_greedy,0.6666666666666666,30,90,29.909321392492135,True
hardware_gap/free-bandwidth,independent_fastest,0.6666666666666666,30,90,,False
hardware_gap/free-bandwidth,replay_only,0.6666666666666666,30,90,,False
hardware_gap/free-bandwidth,kv_only,0.6666666666666666,30,90,,False
hardware_gap/free-bandwidth,power_blind,0.6666666666666666,30,90,,False
hardware_gap/free-bandwidth,deadline_blind,0.6666666666666666,30,90,50.80534900779436,False
hardware_gap/free-kv,queue_haul_lp,0.6666666666666666,30,90,29.52795160517174,True
hardware_gap/free-kv,queue_haul_greedy,0.6666666666666666,30,90,28.416019388804184,True
hardware_gap/free-kv,independent_fastest,0.6666666666666666,30,90,,False
hardware_gap/free-kv,replay_only,0.6666666666666666,30,90,,False
hardware_gap/free-kv,kv_only,0.6666666666666666,30,90,,False
hardware_gap/free-kv,power_blind,0.6666666666666666,30,90,,False
hardware_gap/free-kv,deadline_blind,0.6666666666666666,30,90,68.24295665545867,False
hardware_gap/free-service,queue_haul_lp,0.6666666666666666,30,90,29.610246350453163,True
hardware_gap/free-service,queue_haul_greedy,0.6666666666666666,30,90,29.909523163193796,True
hardware_gap/free-service,independent_fastest,0.6666666666666666,30,90,,False
hardware_gap/free-service,replay_only,0.6666666666666666,30,90,,False
hardware_gap/free-service,kv_only,0.6666666666666666,30,90,,False
hardware_gap/free-service,power_blind,0.6666666666666666,30,90,,False
hardware_gap/free-service,deadline_blind,0.6666666666666666,30,90,74.50590226511291,False
