phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,288.1141666666666
baseline,1,240,240,1.0,82.92766666666668
drain,0,307,307,1.0,119.12928338762215
drain,1,307,307,1.0,339.7187296416938
post,0,240,240,1.0,88.18491666666665
post,1,240,240,1.0,317.60279166666663
