phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,128.66334728033473
baseline,1,239,239,1.0,83.18230125523013
drain,0,149,149,1.0,102.38939597315436
drain,1,149,149,1.0,177.92476510067118
post,0,239,239,1.0,86.85359832635983
post,1,239,239,1.0,131.87711297071132
