phase,gpu,samples,power_mean_w
baseline,0,120,348.8208333333333
baseline,1,120,85.40891666666667
drain,0,1307,345.54196633511856
drain,1,1307,184.79779648048967
post,0,120,293.85049999999995
post,1,120,178.38316666666665
