campaign,episode_id,state_id,pack_id,policy,repeat,phase,wan_mbps,prefill_rps,kv_share_percent,attainment_time_s
wan,3044c3646814f4f5,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,1,initial,3500.0,0.0,37.5,25.800564146
wan,f2fa35962443b7f2,c1af3b5bbd298dd0,0f92bd310a4ec5e2,per_session_greedy,2,initial,3500.0,0.0,0.0,36.897118815
wan,f0d54dc49bc0c692,c1af3b5bbd298dd0,0f92bd310a4ec5e2,greedy,2,initial,3500.0,0.0,37.5,25.991969369
wan,517baeb1d4f8f915,c1af3b5bbd298dd0,0f92bd310a4ec5e2,replay_only,2,initial,3500.0,0.0,0.0,
wan,21caed1b6a99eee4,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,2,initial,3500.0,0.0,37.5,25.979159508
wan,9172e728f2cd84f6,c1af3b5bbd298dd0,0f92bd310a4ec5e2,kv_only,2,initial,3500.0,0.0,100.0,
wan,8143f767b10637d2,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,0,initial,2500.0,0.0,37.5,25.891983474
wan,f27f5cc5b39e60dd,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,0,initial,2500.0,0.0,0.0,36.930466393
wan,b7a25317eb4accf8,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,0,initial,2500.0,0.0,37.5,25.705102719
wan,ca32b975d29590b5,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,0,initial,2500.0,0.0,0.0,
wan,1cea2e1f92b8f1cc,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,0,initial,2500.0,0.0,100.0,
wan,0946acb74e66a3f6,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,1,initial,2500.0,0.0,0.0,36.950215807999996
wan,bc6833510c6d0688,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,1,initial,2500.0,0.0,37.5,25.788393033
wan,3c227eb137ab812e,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,1,initial,2500.0,0.0,37.5,25.809507756
wan,c849816420331d72,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,1,initial,2500.0,0.0,0.0,
wan,00316c0c8e1856bd,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,1,initial,2500.0,0.0,100.0,
wan,9babba305a91c6bd,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,2,initial,2500.0,0.0,0.0,
wan,581e27adde73781e,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,2,initial,2500.0,0.0,37.5,26.298613736
wan,1ef8317553aff80e,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,2,initial,2500.0,0.0,0.0,36.89520633
wan,cdf74941dbf34cc3,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,2,initial,2500.0,0.0,100.0,
wan,424b1bf7206d27e9,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,2,initial,2500.0,0.0,37.5,25.85112983
wan,183e18c654d1edae,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,0,initial,3000.0,0.0,0.0,
wan,7b0a11ba0dd5d916,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,0,initial,3000.0,0.0,37.5,25.616682383
wan,88446f796e6ad001,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,0,initial,3000.0,0.0,0.0,36.909526348
wan,d364a5976bbba17f,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,0,initial,3000.0,0.0,37.5,25.688022144
wan,60b1894fcb288c0b,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,0,initial,3000.0,0.0,100.0,
wan,a9ae726c54887533,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,1,initial,3000.0,0.0,0.0,36.922949476
wan,9500870e17a74429,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,1,initial,3000.0,0.0,100.0,
wan,886e058ce2f56844,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,1,initial,3000.0,0.0,37.5,25.786818436
wan,1c9002378a616fc4,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,1,initial,3000.0,0.0,0.0,
wan,598fc14ad2caf4db,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,1,initial,3000.0,0.0,37.5,25.913346797
wan,621236f702e6c507,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,2,initial,3000.0,0.0,0.0,36.924149036
wan,76f47ef3b2065496,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,2,initial,3000.0,0.0,37.5,25.903126232
wan,72626518a09ae37d,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,2,initial,3000.0,0.0,37.5,25.930197205
wan,877dccac1bc711c3,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,2,initial,3000.0,0.0,0.0,
wan,4796737fa40d5924,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,2,initial,3000.0,0.0,100.0,
wan,765f3ef6558d6b7e,0d145fb3263931d8,0f92bd310a4ec5e2,queue_haul,3,additional,3250.0,0.0,37.5,25.737886523
wan,eab600e5c14e4787,0d145fb3263931d8,0f92bd310a4ec5e2,replay_only,3,additional,3250.0,0.0,0.0,
wan,d4cdb48233b57ee3,0d145fb3263931d8,0f92bd310a4ec5e2,kv_only,3,additional,3250.0,0.0,100.0,
wan,eaf3ca4380cfaa68,0d145fb3263931d8,0f92bd310a4ec5e2,greedy,3,additional,3250.0,0.0,37.5,25.701684542
wan,c25994b073b0e368,0d145fb3263931d8,0f92bd310a4ec5e2,per_session_greedy,3,additional,3250.0,0.0,0.0,36.923128579
wan,beca2b87ff740b61,0d145fb3263931d8,0f92bd310a4ec5e2,greedy,4,additional,3250.0,0.0,37.5,25.712569183
wan,98492990d51925b5,0d145fb3263931d8,0f92bd310a4ec5e2,per_session_greedy,4,additional,3250.0,0.0,0.0,36.916514267
wan,f8d9f50a0357a321,0d145fb3263931d8,0f92bd310a4ec5e2,queue_haul,4,additional,3250.0,0.0,37.5,25.760243424
wan,be8521de036a014b,0d145fb3263931d8,0f92bd310a4ec5e2,kv_only,4,additional,3250.0,0.0,100.0,
wan,fde1075d5df64cd3,0d145fb3263931d8,0f92bd310a4ec5e2,replay_only,4,additional,3250.0,0.0,0.0,
wan,e19a31d26ac5a1ea,6d4e7afd778f5e6e,0f92bd310a4ec5e2,per_session_greedy,3,additional,10000.0,0.0,100.0,17.751420114
wan,b49b9df215ac907f,6d4e7afd778f5e6e,0f92bd310a4ec5e2,greedy,3,additional,10000.0,0.0,87.5,16.469053588
wan,2fe495890622273a,6d4e7afd778f5e6e,0f92bd310a4ec5e2,replay_only,3,additional,10000.0,0.0,0.0,
wan,36249303264ea977,6d4e7afd778f5e6e,0f92bd310a4ec5e2,queue_haul,3,additional,10000.0,0.0,87.5,16.639201878999998
wan,a2bdb54fe520ecfa,6d4e7afd778f5e6e,0f92bd310a4ec5e2,kv_only,3,additional,10000.0,0.0,100.0,
wan,83333008e0cc56be,6d4e7afd778f5e6e,0f92bd310a4ec5e2,per_session_greedy,4,additional,10000.0,0.0,100.0,17.703256187
wan,6385a92d3e1e5f53,6d4e7afd778f5e6e,0f92bd310a4ec5e2,queue_haul,4,additional,10000.0,0.0,87.5,17.250115635
wan,eaa59a26cc72875c,6d4e7afd778f5e6e,0f92bd310a4ec5e2,greedy,4,additional,10000.0,0.0,87.5,17.198488234
wan,f5282145b8f2ed33,6d4e7afd778f5e6e,0f92bd310a4ec5e2,replay_only,4,additional,10000.0,0.0,0.0,
wan,3b3cc7bfe856b5fd,6d4e7afd778f5e6e,0f92bd310a4ec5e2,kv_only,4,additional,10000.0,0.0,100.0,
wan,7d51497ee3d4d43e,c1af3b5bbd298dd0,0f92bd310a4ec5e2,replay_only,3,additional,3500.0,0.0,0.0,
wan,00a48ff28071de03,c1af3b5bbd298dd0,0f92bd310a4ec5e2,kv_only,3,additional,3500.0,0.0,100.0,
wan,bcc42c7b7ceba7a6,c1af3b5bbd298dd0,0f92bd310a4ec5e2,per_session_greedy,3,additional,3500.0,0.0,0.0,36.950976468
wan,716a05787d468710,c1af3b5bbd298dd0,0f92bd310a4ec5e2,greedy,3,additional,3500.0,0.0,37.5,25.612169737
wan,4e3ba7daabddd7f0,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,3,additional,3500.0,0.0,37.5,25.762737787
wan,84520ba03ed4da39,c1af3b5bbd298dd0,0f92bd310a4ec5e2,kv_only,4,additional,3500.0,0.0,100.0,
wan,80df17a16096a5d4,c1af3b5bbd298dd0,0f92bd310a4ec5e2,replay_only,4,additional,3500.0,0.0,0.0,
wan,be7532eff7029074,c1af3b5bbd298dd0,0f92bd310a4ec5e2,greedy,4,additional,3500.0,0.0,37.5,25.703381102
wan,c0a96bb78b7cdd3b,c1af3b5bbd298dd0,0f92bd310a4ec5e2,per_session_greedy,4,additional,3500.0,0.0,0.0,36.942984971
wan,9e32caaeae1acae5,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,4,additional,3500.0,0.0,37.5,25.874476364
