phase,gpu,samples,power_mean_w
baseline,0,120,219.06866666666664
baseline,1,120,85.10925
drain,0,276,143.80913043478265
drain,1,276,128.71159420289857
post,0,120,93.76041666666667
post,1,120,155.37941666666666
