run_id,step,active_leaf_count,active_coding_leaf_count,active_validation_leaf_count,completed_leaf_count,coding_progress,validation_progress,num_reopens_so_far,num_invalidations_so_far,largest_progress_drop_so_far,num_splits_so_far,steps_since_new_subtask,denominator_growth_so_far,steps_since_completion,blocked_leaf_count,repeated_observation_loop_flag,validation_started,validation_complete,validation_failed,submit_without_validation,strong_completion_count,manual_only_completion_count,weak_product_completion_count,label_final_success,label_finish_step,label_success_by_horizon,label_shape_tags
hermes_pilot_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,0,0,0,,25,false,
hermes_pilot_01,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,false,false,false,false,false,0,0,0,,25,false,
hermes_pilot_01,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,false,false,false,false,false,0,1,1,,25,false,
hermes_pilot_01,4,1,1,0,1,0.5,0,0,0,0.5,0,0,1,1,0,false,false,false,false,false,0,1,1,,25,false,
hermes_pilot_01,5,0,0,0,2,1,0,0,0,0.5,0,1,1,0,0,false,false,false,false,false,0,2,2,,25,false,
hermes_pilot_01,6,1,1,0,2,0.666667,0,0,0,0.5,0,0,2,1,0,false,false,false,false,false,0,2,2,,25,false,
hermes_pilot_01,9,0,0,0,3,1,0,0,0,0.5,0,3,2,0,0,false,false,false,false,false,1,2,2,,25,false,
hermes_pilot_01,10,1,1,1,3,0.75,0,0,0,0.5,0,0,3,1,0,false,false,false,false,false,1,2,2,,25,false,
hermes_pilot_01,17,0,0,0,4,1,1,0,0,0.5,0,7,3,0,0,false,true,true,false,false,2,2,2,,25,false,
hermes_pilot_01,18,1,0,0,4,1,1,0,0,0.5,0,0,3,1,0,false,true,true,false,false,2,2,2,,25,false,
hermes_pilot_01,25,0,0,0,5,1,1,0,0,0.5,0,7,3,0,0,false,true,true,false,false,3,2,2,,25,false,
hermes_pilot_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,0,0,0,,23,false,
hermes_pilot_02,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,false,false,false,false,false,0,0,0,,23,false,
hermes_pilot_02,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,false,false,false,false,false,0,1,1,,23,false,
hermes_pilot_02,4,1,1,1,1,0.5,0,0,0,0.5,0,0,1,1,0,false,false,false,false,false,0,1,1,,23,false,
hermes_pilot_02,13,0,0,0,2,1,1,0,0,0.5,0,9,1,0,0,false,true,true,false,false,0,2,1,,23,false,
hermes_pilot_02,6,1,1,0,2,0.666667,1,0,0,0.5,0,0,2,-7,0,false,true,true,false,false,0,2,1,,23,false,
hermes_pilot_02,11,0,0,0,3,1,1,0,0,0.5,0,5,2,0,0,false,true,true,false,false,1,2,1,,23,false,
hermes_pilot_02,14,1,0,0,3,1,1,0,0,0.5,0,0,2,3,0,false,true,true,false,false,1,2,1,,23,false,
hermes_pilot_02,23,0,0,0,4,1,1,0,0,0.5,0,9,2,0,0,false,true,true,false,false,2,2,1,,23,false,
hermes_pilot_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,0,0,0,,31,false,stuck_loop
hermes_pilot_03,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,false,false,false,false,false,0,0,0,,31,false,stuck_loop
hermes_pilot_03,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,false,false,false,false,false,0,1,1,,31,false,stuck_loop
hermes_pilot_03,4,1,1,0,1,0.5,0,0,0,0.5,0,0,1,1,0,false,false,false,false,false,0,1,1,,31,false,stuck_loop
hermes_pilot_03,5,0,0,0,2,1,0,0,0,0.5,0,1,1,0,0,false,false,false,false,false,0,2,2,,31,false,stuck_loop
hermes_pilot_03,6,1,1,0,2,0.666667,0,0,0,0.5,0,0,2,1,0,false,false,false,false,false,0,2,2,,31,false,stuck_loop
hermes_pilot_03,9,0,0,0,3,1,0,0,0,0.5,0,3,2,0,0,false,false,false,false,false,0,3,2,,31,false,stuck_loop
hermes_pilot_03,10,1,1,1,3,0.75,0,0,0,0.5,0,0,3,1,0,false,false,false,false,false,0,3,2,,31,false,stuck_loop
hermes_pilot_03,15,0,0,0,4,1,1,0,0,0.5,0,5,3,0,0,false,true,true,false,false,1,3,2,,31,false,stuck_loop
hermes_pilot_03,12,1,1,0,4,0.8,1,0,0,0.5,0,0,4,-3,0,false,true,true,false,false,1,3,2,,31,false,stuck_loop
hermes_pilot_03,13,0,0,0,5,1,1,0,0,0.5,0,1,4,0,0,false,true,true,false,false,2,3,2,,31,false,stuck_loop
hermes_pilot_03,16,1,0,0,5,1,1,0,0,0.5,0,0,4,3,0,false,true,true,false,false,2,3,2,,31,false,stuck_loop
hermes_pilot_03,17,1,0,0,5,1,1,0,0,0.5,0,1,4,4,1,false,true,true,false,false,2,3,2,,31,false,stuck_loop
hermes_pilot_03,18,2,1,1,5,0.833333,0.5,0,0,0.5,0,0,5,5,1,false,true,true,false,false,2,3,2,,31,false,stuck_loop
hermes_pilot_03,27,1,0,0,6,1,1,0,0,0.5,0,9,5,0,1,false,true,true,false,false,3,3,2,,31,false,stuck_loop
hermes_pilot_03,28,2,0,0,6,1,1,0,0,0.5,0,0,5,1,1,false,true,true,false,false,3,3,2,,31,false,stuck_loop
hermes_pilot_03,31,1,0,0,7,1,1,0,0,0.5,0,3,5,0,1,false,true,true,false,false,4,3,2,,31,false,stuck_loop
