run_id,step,event_index,event_type,subtask_id,coding_progress,overall_progress,active_coding_weight,completed_coding_weight,active_overall_weight,completed_overall_weight,active_coding_leaves,completed_coding_leaves,active_overall_leaves,completed_overall_leaves,num_splits_so_far,num_reopens_so_far,num_invalidations_so_far,delta_coding_progress,delta_overall_progress,coding_drop_source,overall_drop_source,final_success,final_success_source,native_coding_progress,native_overall_progress,native_active_coding_weight,native_completed_coding_weight,native_active_overall_weight,native_completed_overall_weight,native_active_coding_leaves,native_completed_coding_leaves,native_active_overall_leaves,native_completed_overall_leaves,native_delta_coding_progress,native_delta_overall_progress,native_coding_drop_source,native_overall_drop_source,category_resolution_mode,category_overrides_applied
control_coding_complete_artifacts_incomplete,0,0,init,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,true,summary.final_success,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,legacy_inferred,3
control_coding_complete_artifacts_incomplete,1,3,add_subtask,S3,0.0,0.0,2.0,0,3.0,0,2,0,3,0,0,0,0,0.0,0.0,none,none,true,summary.final_success,0.0,0.0,3.0,0,3.0,0,3,0,3,0,0.0,0.0,none,none,legacy_inferred,3
control_coding_complete_artifacts_incomplete,2,4,update_status,S1,0.5,0.3333333333333333,2.0,1.0,3.0,1.0,2,1,3,1,0,0,0,0.5,0.3333333333333333,none,none,true,summary.final_success,0.3333333333333333,0.3333333333333333,3.0,1.0,3.0,1.0,3,1,3,1,0.3333333333333333,0.3333333333333333,none,none,legacy_inferred,3
control_coding_complete_artifacts_incomplete,3,5,update_status,S2,1.0,0.6666666666666666,2.0,2.0,3.0,2.0,2,2,3,2,0,0,0,0.5,0.3333333333333333,none,none,true,summary.final_success,0.6666666666666666,0.6666666666666666,3.0,2.0,3.0,2.0,3,2,3,2,0.3333333333333333,0.3333333333333333,none,none,legacy_inferred,3
control_high_progress_wrong_solution,0,0,init,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,false,summary.final_success,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,legacy_inferred,4
control_high_progress_wrong_solution,1,4,add_subtask,S4,0.0,0.0,3.5,0,3.5,0,4,0,4,0,0,0,0,0.0,0.0,none,none,false,summary.final_success,0.0,0.0,3.5,0,3.5,0,4,0,4,0,0.0,0.0,none,none,legacy_inferred,4
control_high_progress_wrong_solution,2,5,update_status,S1,0.2857142857142857,0.2857142857142857,3.5,1.0,3.5,1.0,4,1,4,1,0,0,0,0.2857142857142857,0.2857142857142857,none,none,false,summary.final_success,0.2857142857142857,0.2857142857142857,3.5,1.0,3.5,1.0,4,1,4,1,0.2857142857142857,0.2857142857142857,none,none,legacy_inferred,4
control_high_progress_wrong_solution,3,6,update_status,S2,0.5714285714285714,0.5714285714285714,3.5,2.0,3.5,2.0,4,2,4,2,0,0,0,0.2857142857142857,0.2857142857142857,none,none,false,summary.final_success,0.5714285714285714,0.5714285714285714,3.5,2.0,3.5,2.0,4,2,4,2,0.2857142857142857,0.2857142857142857,none,none,legacy_inferred,4
control_high_progress_wrong_solution,4,7,update_status,S3,0.8571428571428571,0.8571428571428571,3.5,3.0,3.5,3.0,4,3,4,3,0,0,0,0.2857142857142857,0.2857142857142857,none,none,false,summary.final_success,0.8571428571428571,0.8571428571428571,3.5,3.0,3.5,3.0,4,3,4,3,0.2857142857142857,0.2857142857142857,none,none,legacy_inferred,4
control_monotonic_incomplete_failure,0,0,init,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,false,summary.final_success,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,none,none,legacy_inferred,5
control_monotonic_incomplete_failure,1,5,add_subtask,S5,0.0,0.0,5.0,0,5.0,0,5,0,5,0,0,0,0,0.0,0.0,none,none,false,summary.final_success,0.0,0.0,5.0,0,5.0,0,5,0,5,0,0.0,0.0,none,none,legacy_inferred,5
control_monotonic_incomplete_failure,2,6,update_status,S1,0.2,0.2,5.0,1.0,5.0,1.0,5,1,5,1,0,0,0,0.2,0.2,none,none,false,summary.final_success,0.2,0.2,5.0,1.0,5.0,1.0,5,1,5,1,0.2,0.2,none,none,legacy_inferred,5
control_monotonic_incomplete_failure,3,7,update_status,S2,0.4,0.4,5.0,2.0,5.0,2.0,5,2,5,2,0,0,0,0.2,0.2,none,none,false,summary.final_success,0.4,0.4,5.0,2.0,5.0,2.0,5,2,5,2,0.2,0.2,none,none,legacy_inferred,5
