run_id,step,horizon_steps,future_progress_drop,product_reopened_after_completion,validation_exposes_new_work,stuck_loop_next_window,submit_without_validation_state
hermes_pilot_h5_001,0,5,false,false,false,false,false
hermes_pilot_h5_001,2,5,false,false,false,false,false
hermes_pilot_h5_001,19,5,false,false,false,false,false
hermes_pilot_h5_002,0,5,false,false,false,false,false
hermes_pilot_h5_002,2,5,false,false,false,false,false
hermes_pilot_h5_002,13,5,true,false,false,false,false
hermes_pilot_h5_002,14,5,false,false,false,false,false
hermes_pilot_h5_002,15,5,false,false,false,false,false
hermes_pilot_h5_003,0,5,false,false,false,false,false
hermes_pilot_h5_003,2,5,false,false,true,false,false
hermes_pilot_h5_003,5,5,false,false,false,false,false
hermes_pilot_h5_003,6,5,false,false,false,false,false
hermes_pilot_h5_003,7,5,true,false,true,false,false
hermes_pilot_h5_003,8,5,false,false,true,false,false
hermes_pilot_h5_003,11,5,true,false,false,false,false
hermes_pilot_h5_003,12,5,false,false,false,false,false
hermes_pilot_h5_003,25,5,true,false,false,false,false
hermes_pilot_h5_003,30,5,false,false,true,false,false
hermes_pilot_h5_003,33,5,true,false,false,false,false
hermes_pilot_h5_003,34,5,false,false,false,false,false
hermes_pilot_h5_003,35,5,true,false,true,false,false
hermes_pilot_h5_003,36,5,false,false,true,false,false
hermes_pilot_h5_003,39,5,true,false,false,false,false
hermes_pilot_h5_003,40,5,false,false,false,false,false
hermes_pilot_h5_003,51,5,false,false,false,false,false
hermes_pilot_h5_004,0,5,false,false,false,false,false
hermes_pilot_h5_004,2,5,false,false,false,false,false
hermes_pilot_h5_004,9,5,true,false,true,false,false
hermes_pilot_h5_004,10,5,false,false,true,false,false
hermes_pilot_h5_004,11,5,true,false,false,false,false
hermes_pilot_h5_004,12,5,false,false,false,false,false
hermes_pilot_h5_004,15,5,true,false,false,false,false
hermes_pilot_h5_004,16,5,false,false,false,false,false
hermes_pilot_h5_004,27,5,false,false,false,false,false
hermes_pilot_h5_005,0,5,false,false,false,false,false
hermes_pilot_h5_005,2,5,false,false,false,false,false
hermes_pilot_h5_005,5,5,true,false,true,false,false
hermes_pilot_h5_005,6,5,true,false,true,false,false
hermes_pilot_h5_005,7,5,true,false,false,false,false
hermes_pilot_h5_005,8,5,false,false,false,false,false
hermes_pilot_h5_005,9,5,true,false,false,false,false
hermes_pilot_h5_005,10,5,false,false,false,false,false
hermes_pilot_h5_005,17,5,false,false,false,false,false
hermes_pilot_h5_005,18,5,false,false,false,false,false
hermes_pilot_h5_005,19,5,false,false,false,false,false
hermes_pilot_h5_006,0,5,false,false,false,false,false
hermes_pilot_h5_006,2,5,false,false,false,false,false
hermes_pilot_h5_006,13,5,false,false,false,false,false
hermes_pilot_h5_007,0,5,false,false,false,false,false
hermes_pilot_h5_007,2,5,false,false,false,false,false
hermes_pilot_h5_007,15,5,true,false,true,false,false
hermes_pilot_h5_007,16,5,false,false,true,false,false
hermes_pilot_h5_007,17,5,true,false,false,false,false
hermes_pilot_h5_007,18,5,false,false,false,false,false
hermes_pilot_h5_007,23,5,true,false,true,false,false
hermes_pilot_h5_007,24,5,false,false,true,false,false
hermes_pilot_h5_007,25,5,true,false,false,false,false
hermes_pilot_h5_007,26,5,false,false,false,false,false
hermes_pilot_h5_007,29,5,false,false,false,false,false
hermes_pilot_h5_008,0,5,false,false,true,false,false
hermes_pilot_h5_008,2,5,false,false,true,false,false
hermes_pilot_h5_008,3,5,true,false,true,false,false
hermes_pilot_h5_008,4,5,false,false,true,false,false
hermes_pilot_h5_008,5,5,true,false,true,false,false
hermes_pilot_h5_008,6,5,true,false,true,false,false
hermes_pilot_h5_008,7,5,true,false,false,false,false
hermes_pilot_h5_008,8,5,true,false,false,false,false
hermes_pilot_h5_008,9,5,true,false,true,false,false
hermes_pilot_h5_008,12,5,true,false,true,false,false
hermes_pilot_h5_008,13,5,true,false,true,false,false
hermes_pilot_h5_008,14,5,false,false,true,false,false
hermes_pilot_h5_008,15,5,true,false,true,false,false
hermes_pilot_h5_008,16,5,false,false,true,false,false
hermes_pilot_h5_008,17,5,true,false,false,false,false
hermes_pilot_h5_008,18,5,false,false,false,false,false
hermes_pilot_h5_008,29,5,true,false,false,false,false
hermes_pilot_h5_008,30,5,false,false,false,false,false
hermes_pilot_h5_008,31,5,false,false,false,false,false
hermes_pilot_h5_008,32,5,false,false,false,false,false
hermes_pilot_h5_008,33,5,true,false,false,false,false
hermes_pilot_h5_008,36,5,true,false,false,false,false
hermes_pilot_h5_008,37,5,true,false,true,false,false
hermes_pilot_h5_008,38,5,true,false,true,false,false
hermes_pilot_h5_008,39,5,true,false,false,false,false
hermes_pilot_h5_008,42,5,false,false,false,false,false
hermes_pilot_h5_008,45,5,true,false,true,false,false
hermes_pilot_h5_008,46,5,true,false,true,false,false
hermes_pilot_h5_008,47,5,true,false,false,false,false
hermes_pilot_h5_008,48,5,false,false,false,false,false
hermes_pilot_h5_008,49,5,false,false,false,false,false
hermes_pilot_h5_009,0,5,false,false,false,false,false
hermes_pilot_h5_009,2,5,false,false,false,false,false
hermes_pilot_h5_009,5,5,false,false,false,false,false
hermes_pilot_h5_009,6,5,false,false,false,false,false
hermes_pilot_h5_009,7,5,false,false,false,false,false
hermes_pilot_h5_009,8,5,false,false,false,false,false
hermes_pilot_h5_009,9,5,true,false,false,false,false
hermes_pilot_h5_009,10,5,false,false,false,false,false
hermes_pilot_h5_009,11,5,true,false,false,false,false
hermes_pilot_h5_009,12,5,false,false,false,false,false
hermes_pilot_h5_009,13,5,true,false,false,false,false
hermes_pilot_h5_009,14,5,false,false,false,false,false
hermes_pilot_h5_009,17,5,true,false,false,false,false
hermes_pilot_h5_009,18,5,false,false,false,false,false
hermes_pilot_h5_009,21,5,false,false,false,false,false
hermes_pilot_h5_010,0,5,false,false,false,false,false
hermes_pilot_h5_010,2,5,false,false,true,false,false
hermes_pilot_h5_010,3,5,true,false,true,false,false
hermes_pilot_h5_010,4,5,true,false,true,false,false
hermes_pilot_h5_010,5,5,true,false,false,false,false
hermes_pilot_h5_010,6,5,false,false,false,false,false
hermes_pilot_h5_010,7,5,true,false,false,false,false
hermes_pilot_h5_010,8,5,false,false,false,false,false
hermes_pilot_h5_010,9,5,true,false,false,false,false
hermes_pilot_h5_010,10,5,false,false,false,false,false
hermes_pilot_h5_010,11,5,true,false,false,false,false
hermes_pilot_h5_010,12,5,false,false,false,false,false
hermes_pilot_h5_010,13,5,false,false,false,false,false
hermes_pilot_h5_010,14,5,false,false,false,false,false
hermes_pilot_h5_010,15,5,false,false,false,false,false
hermes_pilot_h5_011,0,5,false,false,false,false,false
hermes_pilot_h5_011,2,5,false,false,false,false,false
hermes_pilot_h5_011,13,5,true,false,false,false,false
hermes_pilot_h5_011,14,5,false,false,false,false,false
hermes_pilot_h5_011,17,5,false,false,false,false,false
hermes_pilot_h5_012,0,5,false,false,false,false,false
hermes_pilot_h5_012,2,5,false,false,false,false,false
hermes_pilot_h5_012,9,5,true,false,true,false,false
hermes_pilot_h5_012,10,5,false,false,true,false,false
hermes_pilot_h5_012,11,5,true,false,false,false,false
hermes_pilot_h5_012,12,5,false,false,false,false,false
hermes_pilot_h5_012,21,5,true,false,true,false,false
hermes_pilot_h5_012,22,5,false,false,true,false,false
hermes_pilot_h5_012,23,5,true,false,false,false,false
hermes_pilot_h5_012,24,5,false,false,false,false,false
hermes_pilot_h5_012,25,5,false,false,false,false,false
hermes_pilot_h5_013,0,5,false,false,false,false,false
hermes_pilot_h5_013,2,5,false,false,false,false,false
hermes_pilot_h5_013,7,5,true,false,false,false,false
hermes_pilot_h5_013,8,5,true,false,false,false,false
hermes_pilot_h5_013,11,5,true,false,false,false,false
hermes_pilot_h5_013,12,5,false,false,false,false,false
hermes_pilot_h5_013,17,5,true,false,false,false,false
hermes_pilot_h5_013,22,5,false,false,false,false,false
hermes_pilot_h5_013,29,5,true,false,false,false,false
hermes_pilot_h5_013,30,5,true,false,false,false,false
hermes_pilot_h5_013,32,5,true,false,true,false,false
hermes_pilot_h5_013,34,5,false,false,true,false,false
hermes_pilot_h5_013,35,5,true,false,false,false,false
hermes_pilot_h5_013,36,5,false,false,false,false,false
hermes_pilot_h5_013,37,5,true,false,false,false,false
hermes_pilot_h5_013,38,5,false,false,false,false,false
hermes_pilot_h5_013,41,5,true,false,false,false,false
hermes_pilot_h5_013,42,5,true,false,false,false,false
hermes_pilot_h5_013,43,5,true,false,false,false,false
