run_id,final_success,final_success_source,final_coding_progress,clean_success,high_progress_failure,low_progress_success,stuck_loop,submit_without_validation,no_validation_frontier,validation_induced_reopen,scope_discovery_after_high_progress,hidden_work_gap,nonmonotone_recovery
swe_agent_pilot_f_01,False,source_metadata.target,0.6667,false,false,false,false,true,false,false,false,false,false
swe_agent_pilot_f_02,False,source_metadata.target,0.5000,false,false,false,true,false,true,false,false,false,false
swe_agent_pilot_f_03,False,source_metadata.target,0.5000,false,false,false,true,false,true,false,false,false,false
swe_agent_pilot_f_04,False,source_metadata.target,0.6667,false,false,false,false,true,false,false,false,false,false
swe_agent_pilot_f_05,False,source_metadata.target,0.6000,false,false,false,true,false,false,false,false,false,false
swe_agent_pilot_f_06,False,source_metadata.target,1.0000,false,true,false,false,false,false,false,false,true,false
swe_agent_pilot_f_07,False,source_metadata.target,0.6667,false,false,false,true,false,false,false,false,false,false
swe_agent_pilot_f_08,False,source_metadata.target,0.7143,false,true,false,true,false,false,false,false,true,false
swe_agent_pilot_f_09,False,source_metadata.target,0.8000,false,true,false,false,true,false,true,false,false,false
swe_agent_pilot_f_10,False,source_metadata.target,0.6667,false,false,false,true,false,true,false,false,false,false
swe_agent_pilot_s_01,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_02,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_03,True,source_metadata.target,1.0000,true,false,false,false,false,false,true,true,false,true
swe_agent_pilot_s_04,True,source_metadata.target,0.6667,false,false,true,false,true,false,false,false,false,false
swe_agent_pilot_s_05,True,source_metadata.target,1.0000,true,false,false,false,false,false,true,false,false,true
swe_agent_pilot_s_06,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_07,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_08,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_09,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
swe_agent_pilot_s_10,True,source_metadata.target,1.0000,true,false,false,false,false,false,false,false,false,false
