run_id,final_success,final_success_source,final_coding_progress,clean_success,high_progress_failure,low_progress_success,stuck_loop,submit_without_validation,no_validation_frontier,validation_induced_reopen,scope_discovery_after_high_progress,hidden_work_gap,nonmonotone_recovery
hermes_pilot_h5_001,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_002,,unknown,1.0000,false,false,false,false,false,false,false,false,false,false
hermes_pilot_h5_003,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_004,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_005,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_006,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_007,,unknown,1.0000,false,false,false,false,false,false,false,false,false,false
hermes_pilot_h5_008,,unknown,0.5000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_009,,unknown,0.8333,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_010,,unknown,0.8333,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_011,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_012,,unknown,0.8000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_013,,unknown,0.5455,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_014,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_015,,unknown,0.7000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_016,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_017,,unknown,0.8000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_018,,unknown,0.5000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_019,,unknown,0.8000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_020,,unknown,1.0000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_021,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_022,,unknown,0.5000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_023,,unknown,0.8182,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_024,,unknown,0.5000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_025,,unknown,0.6000,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_026,,unknown,1.0000,false,false,false,false,false,true,false,false,false,false
hermes_pilot_h5_027,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_028,,unknown,0.7778,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_029,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
hermes_pilot_h5_030,,unknown,0.7500,false,false,false,true,false,false,false,false,false,false
