timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:40:09.023, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.39 W, 0 %, 6 MiB
2026/09/10 01:40:10.023, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.39 W, 0 %, 6 MiB
2026/09/10 01:40:11.023, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.45 W, 0 %, 6 MiB
2026/09/10 01:40:12.023, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.56 W, 0 %, 6 MiB
2026/09/10 01:40:13.023, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.91 W, 0 %, 6 MiB
2026/09/10 01:40:14.024, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 50.08 W, 0 %, 6 MiB
2026/09/10 01:40:15.024, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 98.72 W, 0 %, 24 MiB
2026/09/10 01:40:16.025, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.86 W, 0 %, 7754 MiB
2026/09/10 01:40:17.025, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 107.40 W, 20 %, 15166 MiB
2026/09/10 01:40:18.025, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 32 %, 16512 MiB
2026/09/10 01:40:19.026, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 106.35 W, 44 %, 14786 MiB
2026/09/10 01:40:20.026, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 299.59 W, 100 %, 16032 MiB
2026/09/10 01:40:21.026, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.19 W, 12 %, 60690 MiB
2026/09/10 01:40:22.026, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 60690 MiB
2026/09/10 01:40:23.027, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.26 W, 0 %, 60690 MiB
2026/09/10 01:40:24.027, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 60690 MiB
2026/09/10 01:40:25.027, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 60690 MiB
2026/09/10 01:40:26.027, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.21 W, 0 %, 60690 MiB
2026/09/10 01:40:27.027, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 60690 MiB
2026/09/10 01:40:28.028, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 60690 MiB
2026/09/10 01:40:29.028, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 60690 MiB
2026/09/10 01:40:30.028, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 60690 MiB
2026/09/10 01:40:31.028, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 60690 MiB
2026/09/10 01:40:32.029, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.72 W, 6 %, 60722 MiB
2026/09/10 01:40:33.029, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.13 W, 0 %, 61438 MiB
2026/09/10 01:40:34.029, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.99 W, 0 %, 61438 MiB
2026/09/10 01:40:35.030, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.99 W, 0 %, 61438 MiB
2026/09/10 01:40:36.030, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:40:37.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.80 W, 0 %, 61438 MiB
2026/09/10 01:40:38.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 61438 MiB
