episode,seed,context,append,width,phase,phase_valid,requests,http_complete,state_valid,exact_requests,cache_state,elapsed_s,model_full_rebuild_local_s,model_minus_observed_s,request_queue_time_seconds_sum,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,request_inference_time_seconds_sum,request_prefill_kv_computed_tokens_sum,mean_completed_request_queue_time_seconds,mean_completed_request_prefill_time_seconds,mean_completed_request_decode_time_seconds,mean_completed_request_inference_time_seconds,mean_completed_request_prefill_kv_computed_tokens
unloaded-00-s7101,7101,30000,32,1,initial,True,1,1,1,1,cold_verified,4.801422075,4.423811356056187,-0.3776107189438127,2.4926997866714373e-05,3.8138729380007135,0.9522595560010814,4.766132494001795,30000.0,2.4926997866714373e-05,3.8138729380007135,0.9522595560010814,4.766132494001795,30000.0
unloaded-00-s7101,7101,30000,32,1,catch_up,True,1,1,1,1,native_reuse_verified,0.949467854,4.43047678338226,3.48100892938226,1.736200283630751e-05,0.07878314899789984,0.8381177990013384,0.9169009479992383,64.0,1.736200283630751e-05,0.07878314899789984,0.8381177990013384,0.9169009479992383,64.0
unloaded-00-s7101,7101,30000,32,1,cold_updated,True,1,1,1,1,cold_verified,4.79542254,4.43047678338226,-0.36494575661773965,1.4536999515257776e-05,3.8258679890022904,0.9384406799981662,4.764308669000457,30032.0,1.4536999515257776e-05,3.8258679890022904,0.9384406799981662,4.764308669000457,30032.0
unloaded-01-s7101,7101,2048,2048,1,initial,True,1,1,1,1,cold_verified,0.852686504,0.6963892862983582,-0.15629721770164184,1.566899663885124e-05,0.11935446900315583,0.7266704989997379,0.8460249680028937,2048.0,1.566899663885124e-05,0.11935446900315583,0.7266704989997379,0.8460249680028937,2048.0
unloaded-01-s7101,7101,2048,2048,1,catch_up,True,1,1,1,1,native_reuse_verified,1.157677302,0.8369439130511498,-0.3207333889488502,1.6931000573094934e-05,0.14452049600004102,1.00477796999985,1.149298465999891,2080.0,1.6931000573094934e-05,0.14452049600004102,1.00477796999985,1.149298465999891,2080.0
unloaded-01-s7101,7101,2048,2048,1,cold_updated,True,1,1,1,1,cold_verified,1.301132327,0.8369439130511498,-0.46418841394885013,1.1972999345744029e-05,0.24912376300198957,1.0431484109976736,1.2922721739996632,4096.0,1.1972999345744029e-05,0.24912376300198957,1.0431484109976736,1.2922721739996632,4096.0
unloaded-02-s7101,7101,2048,32,8,initial,False,8,8,7,8,cold_verified,3.848623825,1.7012187742,-2.1474050508,2.690072583998699,12.75154677500177,12.923559465005383,25.675106240007153,16384.0,0.33625907299983737,1.5939433468752213,1.6154449331256728,3.209388280000894,2048.0
unloaded-02-s7101,7101,2048,32,8,catch_up,True,8,8,8,8,native_reuse_verified,1.316169294,1.720039723109923,0.4038704291099229,0.0001620009970793035,0.6180055389922927,7.70567279300667,8.323678331998963,512.0,2.0250124634912936e-05,0.07725069237403659,0.9632090991258337,1.0404597914998703,64.0
unloaded-02-s7101,7101,2048,32,8,cold_updated,True,8,8,8,8,cold_verified,2.052279628,1.720039723109923,-0.33223990489007704,0.24586245300088194,4.883606317998783,8.68278080300297,13.566387121001753,16640.0,0.030732806625110243,0.6104507897498479,1.0853476003753713,1.6957983901252192,2080.0
unloaded-03-s7101,7101,2048,2048,8,initial,True,8,8,8,8,cold_verified,1.966112748,1.7012187742,-0.2648939738,0.23541934199965908,4.81775560800088,8.281250167998223,13.099005775999103,16384.0,0.029427417749957385,0.60221945100011,1.035156270999778,1.637375721999888,2048.0
unloaded-03-s7101,7101,2048,2048,8,catch_up,True,8,8,8,8,native_reuse_verified,2.175265048,3.0371124755,0.8618474274999999,0.3006823099931353,5.8725968380022096,8.844204099994386,14.716800937996595,16640.0,0.03758528874914191,0.7340746047502762,1.1055255124992982,1.8396001172495744,2080.0
unloaded-03-s7101,7101,2048,2048,8,cold_updated,False,8,8,7,8,cold_verified,3.090053386,3.0371124755,-0.05294091050000027,2.952665811008046,7.460195512991049,12.224936082999193,19.685131595990242,32768.0,0.36908322637600577,0.9325244391238812,1.528117010374899,2.4606414494987803,4096.0
