seed,context,append,phase,valid_pair,width1_elapsed_s,width8_elapsed_s,width8_over_width1_elapsed,width8_over_eight_singletons
7101,2048,32,initial,False,1.067636717,3.848623825,,
7101,2048,32,catch_up,True,0.723970567,1.316169294,1.8179872967128512,0.2272484120891064
7101,2048,32,cold_updated,True,1.130166637,2.052279628,1.8159088764535878,0.22698860955669847
7101,2048,2048,initial,True,0.852686504,1.966112748,2.3057861696847026,0.28822327121058783
7101,2048,2048,catch_up,True,1.157677302,2.175265048,1.8789908416119228,0.23487385520149034
7101,2048,2048,cold_updated,False,1.301132327,3.090053386,,
7101,8192,32,initial,True,1.264098704,5.722996727,4.527333750830267,0.5659167188537834
7101,8192,32,catch_up,True,0.787110263,1.289921318,1.6388063764834941,0.20485079706043677
7101,8192,32,cold_updated,True,1.484718911,5.804914892,3.9097736608542464,0.4887217076067808
7101,8192,2048,initial,True,1.294322362,5.679323448,4.387874006305703,0.5484842507882128
7101,8192,2048,catch_up,False,1.282787856,2.734314392,,
7101,8192,2048,cold_updated,False,1.615870053,,,
7101,30000,32,initial,True,4.801422075,31.999076963,6.664499905061982,0.8330624881327477
7101,30000,32,catch_up,True,0.949467854,1.438585048,1.5151487666901042,0.18939359583626303
7101,30000,32,cold_updated,True,4.79542254,32.350035228,6.746023933899265,0.8432529917374081
7101,30000,2048,initial,True,4.888754013,31.994645396,6.544539837946639,0.8180674797433298
7101,30000,2048,catch_up,True,1.463539558,4.814580402,3.289682452163688,0.411210306520461
7101,30000,2048,cold_updated,True,5.44093955,35.909685797,6.599905304406478,0.8249881630508098
7102,2048,32,initial,True,1.082932359,2.067160948,1.9088550922135665,0.23860688652669582
7102,2048,32,catch_up,True,0.754204966,1.263028197,1.674648476127907,0.20933105951598838
7102,2048,32,cold_updated,True,0.841588957,2.116854866,2.515307322408224,0.314413415301028
7102,2048,2048,initial,True,0.922896469,1.829538081,1.982387128409308,0.2477983910511635
7102,2048,2048,catch_up,True,0.943084423,2.262618108,2.3991681474310598,0.29989601842888247
7102,2048,2048,cold_updated,False,1.014418532,3.13887213,,
7102,8192,32,initial,True,1.650921154,5.717964762,3.4634996033250904,0.4329374504156363
7102,8192,32,catch_up,True,1.165810465,1.119166069,0.9599897261172724,0.11999871576465905
7102,8192,32,cold_updated,True,1.793868931,5.811513762,3.2396535006380573,0.40495668757975717
7102,8192,2048,initial,True,1.295984455,5.770392004,4.452516372196763,0.5565645465245954
7102,8192,2048,catch_up,False,1.033406321,3.061440343,,
7102,8192,2048,cold_updated,False,1.620631182,7.386466398,,
7102,30000,32,initial,True,4.821028936,32.499078253,6.741108316177092,0.8426385395221365
7102,30000,32,catch_up,True,0.891160766,1.407258444,1.5791297122701202,0.19739121403376503
7102,30000,32,cold_updated,True,4.844588632,32.435315884,6.69516409912593,0.8368955123907412
7102,30000,2048,initial,True,4.809925546,32.540811212,6.765346137023137,0.8456682671278921
7102,30000,2048,catch_up,True,1.369530503,5.027136163,3.6707003984123747,0.45883754980154684
7102,30000,2048,cold_updated,True,5.222050669,35.941333335,6.88260907699745,0.8603261346246812
