phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,281.96466666666663
baseline,1,240,240,1.0,82.51541666666665
drain,0,91,91,1.0,161.05274725274725
drain,1,91,91,1.0,349.10999999999996
post,0,240,240,1.0,140.29379166666666
post,1,240,240,1.0,304.53320833333333
