phase,gpu,samples,power_mean_w
baseline,0,240,295.5047083333333
baseline,1,240,83.47154166666665
drain,0,43,176.78348837209302
drain,1,43,338.07674418604654
post,0,239,134.17669456066946
post,1,239,302.0007531380753
