monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5968380021729,1788634440441354113,2026/09/05 18:54:00.432,299.86,100,73992,1245,1512,75,P0,0x0000000000000004
5968507022382,1788634440567647906,2026/09/05 18:54:00.560,317.06,100,73992,1245,1512,75,P0,0x0000000000000004
5968635454502,1788634440697876652,2026/09/05 18:54:00.687,312.71,100,73992,1245,1512,75,P0,0x0000000000000004
5968763508966,1788634440824099988,2026/09/05 18:54:00.817,303.12,100,73992,1245,1512,75,P0,0x0000000000000004
5968889853517,1788634440950572245,2026/09/05 18:54:00.943,298.07,100,73992,1245,1512,75,P0,0x0000000000000004
5969016868561,1788634441078096604,2026/09/05 18:54:01.070,292.93,100,73992,1245,1512,75,P0,0x0000000000000004
5969145024669,1788634441206926549,2026/09/05 18:54:01.198,288.92,100,73992,1260,1512,75,P0,0x0000000000000004
5969272898137,1788634441333825866,2026/09/05 18:54:01.326,289.39,100,73992,1260,1512,75,P0,0x0000000000000004
5969400179435,1788634441461489436,2026/09/05 18:54:01.453,295.90,100,73992,1260,1512,75,P0,0x0000000000000004
5969527564658,1788634441588593367,2026/09/05 18:54:01.580,299.31,100,73992,1260,1512,75,P0,0x0000000000000004
5969654216542,1788634441714803734,2026/09/05 18:54:01.707,320.04,100,73992,1260,1512,75,P0,0x0000000000000004
5969781120859,1788634441841968809,2026/09/05 18:54:01.834,304.46,100,73992,1260,1512,75,P0,0x0000000000000004
5969908010423,1788634441969003952,2026/09/05 18:54:01.961,314.31,100,73992,1260,1512,75,P0,0x0000000000000004
5970037037683,1788634442100012489,2026/09/05 18:54:02.088,295.95,100,73992,1260,1512,75,P0,0x0000000000000004
5970165676615,1788634442226299329,2026/09/05 18:54:02.218,278.74,100,73992,1245,1512,75,P0,0x0000000000000004
5970292388582,1788634442353433466,2026/09/05 18:54:02.345,282.53,100,73992,1245,1512,75,P0,0x0000000000000004
5970418786260,1788634442479110223,2026/09/05 18:54:02.472,294.17,100,73992,1245,1512,75,P0,0x0000000000000004
5970549262759,1788634442614371138,2026/09/05 18:54:02.606,301.05,100,73992,1260,1512,75,P0,0x0000000000000004
5970680663878,1788634442741915014,2026/09/05 18:54:02.733,308.17,100,73992,1260,1512,75,P0,0x0000000000000004
5970807659961,1788634442868356503,2026/09/05 18:54:02.860,317.87,100,73992,1260,1512,75,P0,0x0000000000000004
5970934397807,1788634442995393519,2026/09/05 18:54:02.987,312.10,100,73992,1260,1512,75,P0,0x0000000000000004
5971061334053,1788634443122199282,2026/09/05 18:54:03.114,299.52,100,73992,1245,1512,75,P0,0x0000000000000004
5971189199506,1788634443250698857,2026/09/05 18:54:03.242,289.80,100,73992,1245,1512,75,P0,0x0000000000000004
5971316778943,1788634443377800133,2026/09/05 18:54:03.370,294.48,100,73992,1245,1512,75,P0,0x0000000000000004
5971444039152,1788634443505177156,2026/09/05 18:54:03.497,286.01,100,73992,1260,1512,75,P0,0x0000000000000004
5971571362013,1788634443632504946,2026/09/05 18:54:03.624,288.04,100,73992,1260,1512,75,P0,0x0000000000000004
5971698404369,1788634443759260094,2026/09/05 18:54:03.751,301.54,100,73992,1260,1512,75,P0,0x0000000000000004
5971824668576,1788634443885050073,2026/09/05 18:54:03.878,297.38,100,73992,1260,1512,73,P0,0x0000000000000004
5971951045623,1788634444012003948,2026/09/05 18:54:04.005,291.44,86,73992,1260,1512,75,P0,0x0000000000000004
5972077364919,1788634444137682873,2026/09/05 18:54:04.130,290.46,86,73992,1260,1512,75,P0,0x0000000000000004
5972203297024,1788634444263874520,2026/09/05 18:54:04.256,289.69,100,73992,1260,1512,75,P0,0x0000000000000004
5972330258315,1788634444391596619,2026/09/05 18:54:04.383,294.68,100,73992,1260,1512,75,P0,0x0000000000000004
5972457893887,1788634444519124575,2026/09/05 18:54:04.511,302.12,100,73992,1260,1512,75,P0,0x0000000000000004
5972584598274,1788634444645022506,2026/09/05 18:54:04.638,318.75,100,73992,1260,1512,75,P0,0x0000000000000004
5972710487174,1788634444770883167,2026/09/05 18:54:04.764,309.97,100,73992,1260,1512,75,P0,0x0000000000000004
5972841643904,1788634444907370531,2026/09/05 18:54:04.889,308.31,100,73992,1260,1512,75,P0,0x0000000000000004
5972973810651,1788634445034893908,2026/09/05 18:54:05.027,297.39,100,73992,1260,1512,75,P0,0x0000000000000004
5973101095411,1788634445161864439,2026/09/05 18:54:05.154,277.82,100,73992,1260,1512,75,P0,0x0000000000000004
5973227997003,1788634445289083776,2026/09/05 18:54:05.281,283.21,100,73992,1260,1512,75,P0,0x0000000000000004
5973354742933,1788634445415366649,2026/09/05 18:54:05.408,298.12,100,73992,1245,1512,75,P0,0x0000000000000004
5973481156411,1788634445541898427,2026/09/05 18:54:05.534,292.61,100,73992,1245,1512,75,P0,0x0000000000000004
5973607995750,1788634445669054286,2026/09/05 18:54:05.661,299.61,100,73992,1245,1512,75,P0,0x0000000000000004
5973735151929,1788634445796198442,2026/09/05 18:54:05.787,316.46,100,73992,1245,1512,75,P0,0x0000000000000004
5973862161869,1788634445923087490,2026/09/05 18:54:05.915,316.75,100,73992,1245,1512,75,P0,0x0000000000000004
5973988958755,1788634446049777646,2026/09/05 18:54:06.042,300.49,100,73992,1245,1512,75,P0,0x0000000000000004
5974115934434,1788634446177064464,2026/09/05 18:54:06.169,300.32,100,73992,1245,1512,75,P0,0x0000000000000004
5974244020369,1788634446305933686,2026/09/05 18:54:06.296,281.14,100,73992,1260,1512,75,P0,0x0000000000000004
5974371219909,1788634446431464736,2026/09/05 18:54:06.425,282.48,100,73992,1260,1512,75,P0,0x0000000000000004
5974498332005,1788634446560147298,2026/09/05 18:54:06.551,286.30,100,73992,1260,1512,75,P0,0x0000000000000004
5974625503567,1788634446685816958,2026/09/05 18:54:06.678,289.24,100,73992,1260,1512,75,P0,0x0000000000000004
5974753400195,1788634446815928040,2026/09/05 18:54:06.808,302.14,100,73992,1260,1512,75,P0,0x0000000000000004
5974882095097,1788634446943218615,2026/09/05 18:54:06.935,302.14,100,73992,1260,1512,75,P0,0x0000000000000004
5975008938705,1788634447069611079,2026/09/05 18:54:07.062,316.56,100,73992,1260,1512,75,P0,0x0000000000000004
5975135659175,1788634447196655949,2026/09/05 18:54:07.189,314.43,100,73992,1260,1512,75,P0,0x0000000000000004
5975263003744,1788634447324301308,2026/09/05 18:54:07.316,303.29,100,73992,1245,1512,75,P0,0x0000000000000004
5975390079357,1788634447450830848,2026/09/05 18:54:07.443,291.94,100,73992,1245,1512,75,P0,0x0000000000000004
5975517095744,1788634447578311540,2026/09/05 18:54:07.570,287.49,100,73992,1245,1512,75,P0,0x0000000000000004
5975644999850,1788634447706647017,2026/09/05 18:54:07.697,285.52,100,73992,1245,1512,75,P0,0x0000000000000004
5975772677556,1788634447833681638,2026/09/05 18:54:07.826,293.49,100,73992,1245,1512,75,P0,0x0000000000000004
5975899751651,1788634447960788234,2026/09/05 18:54:07.952,296.39,100,73992,1245,1512,75,P0,0x0000000000000004
5976026466488,1788634448087101253,2026/09/05 18:54:08.080,296.77,100,73992,1245,1512,75,P0,0x0000000000000004
5976153411075,1788634448214674573,2026/09/05 18:54:08.206,317.55,100,73992,1260,1512,75,P0,0x0000000000000004
5976280550943,1788634448341372363,2026/09/05 18:54:08.334,307.92,100,73992,1260,1512,75,P0,0x0000000000000004
5976407313485,1788634448468216728,2026/09/05 18:54:08.460,311.51,100,73992,1260,1512,75,P0,0x0000000000000004
5976533940793,1788634448594615268,2026/09/05 18:54:08.587,296.41,100,73992,1260,1512,75,P0,0x0000000000000004
5976661206547,1788634448722742244,2026/09/05 18:54:08.713,346.05,100,73992,1245,1512,75,P0,0x0000000000000004
5976788468899,1788634448849142397,2026/09/05 18:54:08.842,314.46,86,73992,1245,1512,75,P0,0x0000000000000004
5976915810786,1788634448976916203,2026/09/05 18:54:08.969,298.06,86,73992,1245,1512,75,P0,0x0000000000000004
