deadline_headroom,linear_overrun_weight,quadratic_overrun_weight,drain_window_s,status,safe,p95_delay_over_deadline,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction
0.6,5.0,25.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,25.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,25.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,25.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,100.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,100.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,100.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,100.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,500.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,500.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,500.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,5.0,500.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,25.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,25.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,25.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,25.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,100.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,100.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,100.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,100.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,500.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,500.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,500.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,25.0,500.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,25.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,25.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,25.0,1800.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,25.0,3600.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,100.0,0.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
0.6,100.0,100.0,900.0,INFEASIBLE,False,nan,nan,nan,nan,nan,nan
