policy,drain_window_s,max_safe_retained_prefill_fraction,max_safe_retained_prefill_fraction_std,seed_count,release_policy
replay-only,300.0,0.0046625,0.006547760431373972,16,edf
replay-only,400.0,0.0046625,0.006547760431373972,16,edf
replay-only,500.0,0.0043125,0.00605528694613228,16,edf
replay-only,600.0,0.0043125,0.00605528694613228,16,edf
replay-only,800.0,0.0043125,0.00605528694613228,16,edf
replay-only,1000.0,0.0043125,0.00605528694613228,16,edf
replay-only,1200.0,0.0043125,0.00605528694613228,16,edf
replay-only,1600.0,0.0043125,0.00605528694613228,16,edf
replay-only,2000.0,0.0043125,0.00605528694613228,16,edf
replay-only,2400.0,0.0043125,0.00605528694613228,16,edf
replay-only,3000.0,0.0043125,0.00605528694613228,16,edf
replay-only,3600.0,0.0043125,0.00605528694613228,16,edf
state-only,10.0,0.0,0.0,16,edf
state-only,12.5,0.0,0.0,16,edf
state-only,16.0,0.0,0.0,16,edf
state-only,20.0,0.0,0.0,16,edf
state-only,25.0,0.0,0.0,16,edf
state-only,32.0,0.0,0.0,16,edf
state-only,40.0,0.0,0.0,16,edf
state-only,50.0,0.0,0.0,16,edf
state-only,63.0,0.0,0.0,16,edf
state-only,80.0,0.0,0.0,16,edf
state-only,100.0,0.0,0.0,16,edf
state-only,125.0,0.0,0.0,16,edf
state-only,160.0,0.0004875,0.00195,16,edf
state-only,200.0,0.0004875,0.00195,16,edf
state-only,250.0,0.0004875,0.00195,16,edf
state-only,300.0,0.0004875,0.00195,16,edf
state-only,400.0,0.0004875,0.00195,16,edf
state-only,500.0,0.0004875,0.00195,16,edf
state-only,600.0,0.0004875,0.00195,16,edf
state-only,800.0,0.0004875,0.00195,16,edf
state-only,1000.0,0.0004875,0.00195,16,edf
state-only,1200.0,0.0004875,0.00195,16,edf
state-only,1600.0,0.0004875,0.00195,16,edf
state-only,2000.0,0.0004875,0.00195,16,edf
state-only,2400.0,0.0004875,0.00195,16,edf
state-only,3000.0,0.0004875,0.00195,16,edf
state-only,3600.0,0.0004875,0.00195,16,edf
