model,status,largest_tested_safe_retained_prefill_fraction,frontier_censored_by_grid,bottleneck_type,p95_delay_over_deadline,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_fraction,state_transfer_fraction
DeepSeek-V4-Pro,SAFE,1.0,True,network,0.0030619528954087733,0.0,0.13093957459666905,0.039678466524687865,0.7269529662265213,0.27304703377347866
GLM-5,SAFE,0.8,False,prefill,0.0566391793293423,0.0,0.0011773862605971904,0.13098987984209873,1.0,0.0
Qwen3-Next-80B-A3B,SAFE,1.0,True,prefill,0.0002362096640473248,0.0,0.0007675703944048203,0.018104386474998707,1.0,0.0
