policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
deadline-penalty-rounded,0.2,0.25,OK,False,13234.027951807228,13233.978602409637,1.0000037289917925,156.21058575593642,122.72726787475489,469.11860403790956,670.3072986263394,10.607342935699812,0.6784615384615384,1800.0,7.352237751004015,2218.758318427291,0.3363481615874993,0.6415938417040845,0.7686845098258589,0.23131549017414116,0,
repaired-deadline-penalty-rounded,0.2,0.25,REPAIR_FAILED,False,nan,13233.978602409637,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.2,0.25,OK,False,13235.292530120481,13233.978602409637,1.000099284406475,151.2209818738274,40.56094428991884,610.7399779478333,762.5915569085107,28.601394170926614,0.6673132880698351,1800.0,7.352940294511378,2477.376065366752,0.0007783364611025664,0.7588332184829486,0.9998974629060411,0.00010253709395893446,0,
deadline-aware-CVXPY-rounded,0.2,0.25,INFEASIBLE,False,nan,13233.978602409637,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
repaired-deadline-aware-CVXPY-rounded,0.2,0.25,INFEASIBLE,False,nan,13233.978602409637,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.2,0.25,OK,False,13236.927228915662,13233.978602409637,1.000222807259601,151.29936488947357,42.18670434887213,610.6326466145941,761.9152803774637,28.53258767261075,0.6674769081186194,1800.0,7.353848460508701,2476.1029410678543,4.256297661699735e-05,0.7575557174438181,1.0,0.0,0,
crossover-greedy,0.2,0.25,OK,False,13236.927228915662,13233.978602409637,1.000222807259601,151.29936488947357,42.18670434887213,610.6326466145941,761.9152803774637,28.53258767261075,0.6674769081186194,1800.0,7.353848460508701,2476.1029410678543,4.256297661699735e-05,0.7575557174438181,1.0,0.0,0,
least-loaded-destination,0.2,0.25,INFEASIBLE,False,nan,13233.978602409637,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
online-queue-greedy,0.2,0.25,INFEASIBLE,False,nan,13233.978602409637,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mixed-greedy,0.2,0.25,OK,False,13236.927228915662,13233.978602409637,1.000222807259601,151.29936488947357,42.18670434887213,610.6326466145941,761.9152803774637,28.53258767261075,0.6674769081186194,1800.0,7.353848460508701,2476.1029410678543,4.256297661699735e-05,0.7575557174438181,1.0,0.0,0,
