retained_prefill_fraction,deadline_scale,budget_label,budget_fraction,budget_move_limit,repair_steps,net_changed_requests,fraction_moved_requests_changed,miss_rate,p95_delay,mean_delay,p95_normalized_delay,objective_delta
0.4,0.25,0%,0.0,0,0,0.0,0.0,0.8766396002498439,1080.9644143188114,330.64121709858443,32.41266086387633,nan
0.4,0.25,5%,0.05,160,0,0.0,0.0,0.8766396002498439,1080.9644143188114,330.64121709858443,32.41266086387633,nan
0.4,0.25,10%,0.1,320,0,0.0,0.0,0.8766396002498439,1080.9644143188114,330.64121709858443,32.41266086387633,nan
0.4,0.25,20%,0.2,640,0,0.0,0.0,0.8766396002498439,1080.9644143188114,330.64121709858443,32.41266086387633,nan
0.4,0.25,unbounded,nan,nan,0,0.0,0.0,0.8766396002498439,1080.9644143188114,330.64121709858443,32.41266086387633,nan
0.4,0.5,0%,0.0,0,0,0.0,0.0,0.7933832709113608,1074.6710373071066,329.00705864018926,16.161556726734844,nan
0.4,0.5,5%,0.05,160,0,0.0,0.0,0.7933832709113608,1074.6710373071066,329.00705864018926,16.161556726734844,nan
0.4,0.5,10%,0.1,320,0,0.0,0.0,0.7933832709113608,1074.6710373071066,329.00705864018926,16.161556726734844,nan
0.4,0.5,20%,0.2,640,0,0.0,0.0,0.7933832709113608,1074.6710373071066,329.00705864018926,16.161556726734844,nan
0.4,0.5,unbounded,nan,nan,0,0.0,0.0,0.7933832709113608,1074.6710373071066,329.00705864018926,16.161556726734844,nan
