policy,release_policy,release_seed,workload_seed,drain_window_s,deadline_scale,retained_prefill_fraction,status,safe,failure_mode,retained_prefill_target_s,retained_prefill_moved_s,resident_state_tb,average_equivalent_state_target_tb,actual_evacuated_state_tb,retained_prefill_moved_fraction,actual_evacuated_nvl72_hbm_fraction,retained_prefill_removal_rate_s_per_s,request_migration_fraction,mean_delay_s,p50_delay_s,p95_delay_s,p99_delay_s,p95_delay_over_deadline,deadline_miss_rate,absolute_p95_delay_over_deadline,absolute_deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,fractional_network_capacity_pressure,fractional_prefill_capacity_pressure,drain_completion_s,objective
deadline-penalty-rounded,edf,,0,10.0,1.0,0.5,INFEASIBLE,False,solver_infeasible,33130.34795180723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.25,INFEASIBLE,False,solver_infeasible,16565.173975903614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.125,INFEASIBLE,False,solver_infeasible,8282.586987951807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.0625,INFEASIBLE,False,solver_infeasible,4141.293493975903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.0312,INFEASIBLE,False,solver_infeasible,2067.3337121927707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.0156,INFEASIBLE,False,solver_infeasible,1033.6668560963853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.0078,INFEASIBLE,False,solver_infeasible,516.8334280481927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.0,SAFE,True,,0.0,0.0,49.4417434624,0.0,0.0,0.0,0.0,0.0,2.412199821421754e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0742783240958724e-10,1.2827682198269097e-10,0.0,3.0858597623450232
deadline-penalty-rounded,edf,,0,10.0,1.0,0.01,INFEASIBLE,False,solver_infeasible,662.6069590361445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deadline-penalty-rounded,edf,,0,10.0,1.0,0.02,INFEASIBLE,False,solver_infeasible,1325.213918072289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
online-queue-greedy,edf,,0,10.0,1.0,0.5,INFEASIBLE,False,target_not_met,33130.34795180723,82.78361445783132,49.4417434624,24.7208717312,0.0617706496,0.0012493622852716758,0.004609749970149254,8.278361445783132,0.0061,5.198822868747449,5.222052851585163,9.267259840431395,9.728192494179725,0.7449195887752291,0.0,0.7449195887752291,0.0,0.9863556717458974,0.9637935793949566,0.5573770491803278,0.4426229508196721,0.9863556717458977,0.9637935793949568,9.863556717458975,
online-queue-greedy,edf,,0,10.0,1.0,0.25,INFEASIBLE,False,target_not_met,16565.173975903614,82.78361445783132,49.4417434624,12.3604358656,0.0617706496,0.0012493622852716758,0.004609749970149254,8.278361445783132,0.0061,5.198822868747449,5.222052851585163,9.267259840431395,9.728192494179725,0.7449195887752291,0.0,0.7449195887752291,0.0,0.9863556717458974,0.9637935793949566,0.5573770491803278,0.4426229508196721,0.9863556717458977,0.9637935793949568,9.863556717458975,
online-queue-greedy,edf,,0,10.0,1.0,0.125,INFEASIBLE,False,target_not_met,8282.586987951807,82.78361445783132,49.4417434624,6.1802179328,0.0617706496,0.0012493622852716758,0.004609749970149254,8.278361445783132,0.0061,5.198822868747449,5.222052851585163,9.267259840431395,9.728192494179725,0.7449195887752291,0.0,0.7449195887752291,0.0,0.9863556717458974,0.9637935793949566,0.5573770491803278,0.4426229508196721,0.9863556717458977,0.9637935793949568,9.863556717458975,
online-queue-greedy,edf,,0,10.0,1.0,0.0625,INFEASIBLE,False,target_not_met,4141.293493975903,82.78361445783132,49.4417434624,3.0901089664,0.0617706496,0.0012493622852716758,0.004609749970149254,8.278361445783132,0.0061,5.198822868747449,5.222052851585163,9.267259840431395,9.728192494179725,0.7449195887752291,0.0,0.7449195887752291,0.0,0.9863556717458974,0.9637935793949566,0.5573770491803278,0.4426229508196721,0.9863556717458977,0.9637935793949568,9.863556717458975,
