policy,retained_prefill_fraction,deadline_scale,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
deadline-penalty-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class1,1,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class3,1,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class4,36,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class6,8,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class7,2,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class8,1,1,1.0,0.0,317.6512989362868,318.4577469060823
deadline-penalty-rounded,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class11,21,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class12,102,102,1.0,248.64160599979968,53.2958845208883,302.9929072787877
deadline-penalty-rounded,0.2,0.25,OK,class,class13,3,3,1.0,0.0,316.96781877962604,318.2472651847316
deadline-penalty-rounded,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class15,128,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class16,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class17,4,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class18,14,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class19,29,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class20,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class21,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class22,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class23,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class24,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class25,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class26,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class27,43,8,0.18604651162790697,12.705180286623765,0.0,15.299812841393788
deadline-penalty-rounded,0.2,0.25,OK,class,class28,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class29,3,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class30,238,217,0.9117647058823529,7.202843598194138,162.44984920726893,172.98360953564992
deadline-penalty-rounded,0.2,0.25,OK,class,class31,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class32,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class33,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class34,181,145,0.8011049723756906,157.23516605949848,5.75998780724266,166.5383114142651
deadline-penalty-rounded,0.2,0.25,OK,class,class35,83,60,0.7228915662650602,0.0,172.60499412058616,177.2775861919662
deadline-penalty-rounded,0.2,0.25,OK,class,class36,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class37,137,104,0.7591240875912408,29.707166978783317,97.28909212986812,131.218228001047
deadline-penalty-rounded,0.2,0.25,OK,class,class38,164,164,1.0,0.0,399.7804010778017,405.0371395375513
deadline-penalty-rounded,0.2,0.25,OK,class,class39,75,56,0.7466666666666667,0.0,180.78692003903913,186.00860076825208
deadline-penalty-rounded,0.2,0.25,OK,class,class40,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class41,16,13,0.8125,0.0,71.28922993279261,80.59521942140051
deadline-penalty-rounded,0.2,0.25,OK,class,class42,0,0,0.0,0.0,0.0,0.0
