policy,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,4 Gbps_retained_prefill_fraction,6 Gbps_retained_prefill_fraction,9 Gbps_retained_prefill_fraction
deadline-penalty,0.64042,0.35958,0.289409,0.331646,0.378945
CVXPY,0.672744,0.327256,0.256826,0.316996,0.426178
mirror-descent-best,0,0,0,0,0
crossover-greedy,0.819186,0.180814,0.318288,0.328218,0.353494
least-loaded-destination,0.541092,0.458908,0.30433,0.326419,0.369251
online-queue-greedy,0.563178,0.436822,0.300137,0.340865,0.358998
mixed-greedy,0.819186,0.180814,0.318288,0.328218,0.353494
replay-only,1,0,0.336052,0.333764,0.330183
state-only,0,1,0.211654,0.31923,0.469116
