policy,destination_counts,replay_requests,state_transfer_requests,deadline_miss_rate,p95_delay_over_deadline,safe
current-rounded,3 0 0,3,0,0.6666666666666666,1.571995930492608,False
repaired-rounded,1 2 0,3,0,0.0,0.9006350727709719,False
deadline-aware-rounded,1 2 0,3,0,0.0,0.9006350727709719,False
