model,regime,policy,objective,objective_gap_to_cvx,relative_gap_to_cvx,retained_prefill_moved_s,retained_prefill_target_s,retained_prefill_shortfall_s,excess_retained_prefill_s,resident_state_tb,average_equivalent_state_target_tb,actual_evacuated_state_tb,actual_evacuated_nvl72_hbm_fraction,max_net_util,max_prefill_util,capacity_feasible,alpha,eta_x0,bisection_iterations,active_classes_moved,active_destinations_used,destination_entropy,action_entropy,replay_frac,state_frac,stay_frac,replay_retained_prefill_frac,state_transfer_retained_prefill_frac,replay_demand_over_capacity,state_bytes_over_capacity,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,feasible
DeepSeek-V4-Pro,bandwidth-spread,CVXPY,40.05911428,0,0,15793.65295,15793.65295,0,6.327863957e-07,5.433411456,2.173364582,2.173364582,0.1621913868,0.5001518076,0.5089349669,True,nan,nan,nan,48,3,0.9795300866,4.144652558e-08,0.4043716783,1.063997317e-09,0.5956283207,0.9999999987,1.340565013e-09,0.2031076768,0.4351080245,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,mirror-descent-best,40.05911379,0,0,15793.65295,15793.65295,0,1.818989404e-12,5.433411456,2.173364582,2.173364582,0.1621913867,0.5001518075,0.5089349672,True,0.005157470703,10,16,29,3,0.97953008,0,0.4043716895,0,0.5956283105,1,0,0.2031076768,0.4351080245,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,replay-only,40.05911379,0,0,15793.65295,15793.65295,0,1.818989404e-12,5.433411456,2.173364582,2.173364582,0.1621913867,0.5001518075,0.5089349672,True,nan,nan,nan,29,3,0.97953008,0,0.4043716895,0,0.5956283105,1,0,0.2031076768,0.4351080245,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,state-only,138.1033276,98.04421332,2.447488295,15793.65295,15793.65295,0,0,5.433411456,2.173364582,2.173364582,0.1621913867,0.5743241747,0.5,True,nan,nan,nan,27,1,0,0,0,0.3981716553,0.6018283447,0,1,0.2031076768,0.4351080245,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,CVXPY,40.17652456,0,0,15793.65295,15793.65295,0,6.878763088e-07,5.433411456,2.173364582,2.173364582,0.1621913868,0.50001043,0.8049972931,True,nan,nan,nan,48,3,0.9879930564,1.733456529e-08,0.3938454426,4.085716563e-10,0.606154557,0.9999999995,5.377555954e-10,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,mirror-descent-best,40.17652409,0,0,15793.65295,15793.65295,0,0,5.433411456,2.173364582,2.173364582,0.1621913867,0.5000104299,0.8049972929,True,0.005142211914,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,replay-only,40.17652409,0,0,15793.65295,15793.65295,0,0,5.433411456,2.173364582,2.173364582,0.1621913867,0.5000104299,0.8049972929,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,state-only,308.0639432,267.8874186,6.66775988,15793.65295,15793.65295,0,1.818989404e-12,5.433411456,2.173364582,2.173364582,0.1621913867,0.5888362126,0.8,True,nan,nan,nan,27,3,0.9744631803,0,0,0.3980391089,0.6019608911,0,1,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,CVXPY,40.62894085,0,0,15793.65295,15793.65295,0,8.747119864e-07,5.433411456,2.173364582,2.173364583,0.1621913868,0.8000064017,0.8065696647,True,nan,nan,nan,48,3,0.9879930537,1.937235123e-08,0.3938454524,4.654635414e-10,0.6061545471,0.9999999994,6.041183681e-10,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,mirror-descent-best,40.62894033,0,0,15793.65295,15793.65295,0,0,5.433411456,2.173364582,2.173364582,0.1621913867,0.8000064017,0.8065696647,True,0.005142211914,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,replay-only,40.62894033,0,0,15793.65295,15793.65295,0,0,5.433411456,2.173364582,2.173364582,0.1621913867,0.8000064017,0.8065696647,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.2031076768,0.6439598763,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,state-only,308.6795461,268.0506052,6.597528746,15793.65295,15793.65295,0,1.818989404e-12,5.433411456,2.173364582,2.173364582,0.1621913867,0.8605684668,0.8,True,nan,nan,nan,26,3,0.9761715502,0,0,0.3773183168,0.6226816832,0,1,0.2031076768,0.6439598763,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,CVXPY,64.03813389,0,0,26449.61157,26449.61157,0,5.123729352e-07,49.33976666,19.73590666,19.73590666,1.472828855,0.5001806253,0.5149633786,True,nan,nan,nan,48,3,0.9809442542,2.428268028e-09,0.3964949749,5.59727942e-11,0.603505025,0.9999999999,6.898974533e-11,0.3401441817,3.951132465,nan,nan,nan,nan,True
