cycle,device,duration_s,mean_memory_mib,mean_power_w,scope,state
0,source,60.000097921,75257.0,84.861956013895,gpu,awake
0,destination,60.000097921,74055.0,82.78554205839892,gpu,awake
0,source,60.000094291,697.0,84.84483583117695,gpu,sleep
0,destination,60.000094291,74055.0,82.75895367989561,gpu,sleep
1,source,60.000097248,73419.0,84.9361837954798,gpu,awake
1,destination,60.000097248,74055.0,82.80600868958767,gpu,awake
1,source,60.000129013,697.0,84.98482107560247,gpu,sleep
1,destination,60.000129013,74055.0,82.89453720028834,gpu,sleep
