phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,127.16338912133891
baseline,1,239,239,1.0,82.82343096234311
drain,0,391,391,1.0,101.16350383631713
drain,1,391,391,1.0,135.61439897698207
post,0,240,240,1.0,86.15445833333332
post,1,240,240,1.0,91.83024999999999
