state_id,repeat,policy,baseline,relief_delta_w,target_attained,baseline_target_attained,attainment_delta,result
0d145fb3263931d8,0,queue_haul,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,0,queue_haul,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,0,queue_haul,per_session_greedy,151.57438635982902,True,False,1,win
0d145fb3263931d8,0,greedy,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,0,greedy,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,0,greedy,per_session_greedy,151.57438635982902,True,False,1,win
0d145fb3263931d8,1,greedy,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,1,greedy,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,1,greedy,per_session_greedy,144.85141073196738,True,False,1,win
0d145fb3263931d8,1,queue_haul,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,1,queue_haul,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,1,queue_haul,per_session_greedy,144.85141073196738,True,False,1,win
0d145fb3263931d8,2,greedy,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,2,greedy,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,2,greedy,per_session_greedy,144.85141073196738,True,False,1,win
0d145fb3263931d8,2,queue_haul,kv_only,100.09464592892613,True,False,1,win
0d145fb3263931d8,2,queue_haul,replay_only,80.71367688883842,True,False,1,win
0d145fb3263931d8,2,queue_haul,per_session_greedy,144.85141073196738,True,False,1,win
6d4e7afd778f5e6e,0,queue_haul,kv_only,31.661754925830024,True,False,1,win
6d4e7afd778f5e6e,0,queue_haul,replay_only,80.71367688883842,True,False,1,win
6d4e7afd778f5e6e,0,queue_haul,per_session_greedy,0.0,True,True,0,tie
6d4e7afd778f5e6e,0,greedy,kv_only,31.661754925830024,True,False,1,win
6d4e7afd778f5e6e,0,greedy,replay_only,80.71367688883842,True,False,1,win
6d4e7afd778f5e6e,0,greedy,per_session_greedy,0.0,True,True,0,tie
6d4e7afd778f5e6e,1,queue_haul,kv_only,31.661754925830024,True,False,1,win
6d4e7afd778f5e6e,1,queue_haul,replay_only,80.71367688883842,True,False,1,win
6d4e7afd778f5e6e,1,queue_haul,per_session_greedy,0.0,True,True,0,tie
6d4e7afd778f5e6e,1,greedy,kv_only,31.661754925830024,True,False,1,win
6d4e7afd778f5e6e,1,greedy,replay_only,80.71367688883842,True,False,1,win
6d4e7afd778f5e6e,1,greedy,per_session_greedy,0.0,True,True,0,tie
6d4e7afd778f5e6e,2,greedy,kv_only,31.661754925830024,True,False,1,win
6d4e7afd778f5e6e,2,greedy,replay_only,80.71367688883842,True,False,1,win
