solver,plan_feasible,planned_moves,replay_moves,kv_moves,planned_source_drop_w,modeled_source_drop_at_deadline_w,requested_power_fraction_achieved,moves_completed_by_deadline,source_nodes_drained_by_deadline,last_completed_migration_s,p95_migration_time_s,p95_service_pause_ms,plan_s
random,False,653339,326614,326725,2034782.0901295133,994.722278191708,0.0004888594126115373,23860,0,235.62830589725615,25.719873563607774,0.17344300000132762,179.6552905831486
load_only,True,524241,524241,0,2034783.89808169,2034783.8980700625,1.0000009882258178,524241,1402,528.7530891459509,15.722453256498824,0.17344300000132762,311.4419693327509
node_aware,True,524240,524240,0,2034786.2565492298,2034786.256537564,1.0000021473021377,524240,1328,512.807674845763,15.656822919739398,0.17344300000132762,258.8146453751251
node_drain,True,524248,524248,0,2035173.0117536625,2035173.0117469025,1.0001922193741188,524248,1410,535.4268205594412,11.38824172026137,0.17344300000132762,476.7923042080365
lp,True,949031,949031,0,3850681.8933338635,3850681.8933087713,1.8924298065776448,949031,1328,556.1427263968673,13.290123306871152,0.17344300000132762,563.0931744580157
