phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,124.42983333333333
baseline,1,239,239,1.0,83.18460251046025
drain,0,153,153,1.0,92.74274509803921
drain,1,154,154,1.0,270.01097402597406
post,0,240,240,1.0,86.963125
post,1,240,240,1.0,127.16962500000001
