phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,301.41326359832635
baseline,1,239,239,1.0,83.34757322175729
drain,0,431,431,1.0,95.53538283062643
drain,1,431,431,1.0,307.8453828306265
post,0,240,240,1.0,88.51033333333334
post,1,240,240,1.0,342.60675
