episode_id,kind,workload,seed,case,bandwidth_mbps,deadline_s,target_fraction,policy,row_id,shard,planner_seed,sessions,source_replicas,destination_replicas,initial_source_power_w,idle_source_power_w,target_power_w,power_at_deadline_w,attained_shed_fraction,steady_state_shed_fraction,target_attainment_s,target_attained,censored,last_commit_s,admitted_moves,committed_moves,replay_moves,kv_moves,planner_feasible,packing_repair_count,packing_repair_s,deadline_repair_count,deadline_repair_s,result_evidence,anchor_tokens,pareto
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,queue_haul,v5-00000,0,4007692563245434690,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,58753.627730466855,0.1118892706742852,0.1118892706742852,25.15832884060268,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,greedy,v5-00001,1,7041344717921838715,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,isolated_fastest,v5-00002,2,14316444895206832837,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,random,v5-00003,3,16508336329553594866,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,62208.691526467606,0.031874730178450376,0.0318747301784502,,False,True,13.512882713176307,507,507,506,1,False,0,0.0,1,0.02699387539178133,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,replay_only,v5-00004,4,13363304656874423762,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.1,kv_only,v5-00005,5,13910772635876005478,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,63579.39182585843,0.0001311905250841074,0.0001311905250839389,,False,True,20.714740124300004,2,2,0,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,queue_haul,v5-00006,6,11767601414239953216,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,55258.6470032969,0.19282823256841794,0.19282823256841658,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,greedy,v5-00007,7,16914804568019781733,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,54849.084700321764,0.2023131339803409,0.20231313398034007,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,isolated_fastest,v5-00008,8,11949055539449820635,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,random,v5-00009,9,8447512808449625951,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,62209.111388751095,0.03186500674361142,0.03186500674361142,,False,True,13.512977945176306,507,507,506,1,False,0,0.0,1,0.040592958219349384,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,replay_only,v5-00010,10,593602119118133783,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.25,kv_only,v5-00011,11,4463048861206487957,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,63579.39182585843,0.0001311905250841074,0.0001311905250839389,,False,True,20.714740124300004,2,2,0,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,queue_haul,v5-00012,12,15890242204531300739,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,57450.18930076303,0.14207511764419783,0.142075117644198,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,greedy,v5-00013,13,16748701912078599725,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,54849.084700321764,0.2023131339803409,0.20231313398034007,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,isolated_fastest,v5-00014,14,2101852874696525152,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,random,v5-00015,15,9997048739466520138,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,58549.801964246595,0.11660959596732415,0.11660959596732415,,False,True,24.999727511763314,1782,1782,1781,1,False,0,0.0,1,0.032523250207304955,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,replay_only,v5-00016,16,115732733332921065,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.5,kv_only,v5-00017,17,5009779209509273784,10000,302,302,63585.05669165392,20404.60755590457,41994.83212377924,63579.39182585843,0.0001311905250841074,0.0001311905250839389,,False,True,20.714740124300004,2,2,0,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,queue_haul,v5-00018,18,6280147557010819555,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,55259.19132783871,0.19281562675831868,0.19281562675831748,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,greedy,v5-00019,19,13146605391393469986,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,54849.084700321764,0.2023131339803409,0.20231313398034007,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,isolated_fastest,v5-00020,20,14421973710570379311,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,random,v5-00021,21,1194988635980495590,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,58544.22992712232,0.1167386367076546,0.1167386367076546,,False,True,24.99953660933657,1781,1781,1780,1,False,0,0.0,1,0.024138291366398335,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,replay_only,v5-00022,22,2892215723475646067,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,0.75,kv_only,v5-00023,23,2766947479518883280,10000,302,302,63585.05669165392,20404.60755590457,31199.719839841906,63579.39182585843,0.0001311905250841074,0.0001311905250839389,,False,True,20.714740124300004,2,2,0,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,queue_haul,v5-00024,24,11467644124176950436,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,55152.92672152354,0.1952765693478943,0.19527656934789345,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,greedy,v5-00025,25,14119737899387936924,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,54849.084700321764,0.2023131339803409,0.20231313398034007,,False,True,24.99657484699094,2077,2077,2075,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,isolated_fastest,v5-00026,26,9300381883224807994,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,random,v5-00027,27,5349291921297244325,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,62206.556229589274,0.03192418072658199,0.03192418072658199,,False,True,13.513168409176307,507,507,506,1,False,0,0.0,1,0.02529849950224161,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,replay_only,v5-00028,28,9506114897519055963,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,54860.4502760806,0.20204992282838868,0.20204992282838802,,False,True,24.99657484699094,2075,2075,2075,0,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,30,1.0,kv_only,v5-00029,29,16912031944053717406,10000,302,302,63585.05669165392,20404.60755590457,20404.60755590457,63579.39182585843,0.0001311905250841074,0.0001311905250839389,,False,True,20.714740124300004,2,2,0,2,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,queue_haul,v5-00030,30,12557153107117766083,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,58753.627730466855,0.1118892706742852,0.1118892706742852,25.15832884060268,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,greedy,v5-00031,31,6597585826683036561,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,isolated_fastest,v5-00032,32,10957020723933725848,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,random,v5-00033,33,11889976010419908164,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,61594.01111766093,0.04610988569696444,0.046109885696964274,,False,True,43.901950454209484,730,730,726,4,False,0,0.0,1,0.016003834083676338,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,replay_only,v5-00034,34,14563519019421621400,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,56359.97384120121,0.16732301296215607,0.1673230129621559,23.676505274107956,True,False,20.671882038521662,1716,1716,1716,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.1,kv_only,v5-00035,35,6189148921838030613,10000,302,302,63585.05669165392,20404.60755590457,59267.01177807898,63570.212593650096,0.00034376895796416713,0.00034376895796416713,,False,True,50.611739036299994,5,5,0,5,False,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.25,queue_haul,v5-00036,36,7275764009891807929,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,47205.2341105807,0.3793342336384423,0.3793342336384423,55.00405919995786,True,False,51.691614578377866,4291,4291,4291,0,True,0,0.0,0,0.0,simulated_sensitivity,,False
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.25,greedy,v5-00037,37,14004003551925724840,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,45513.702739892266,0.4185077810318622,0.418507781031857,54.69440524279607,True,False,51.691614578377866,4291,4291,4291,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
coding-seed-0,trace,profiles/coding.json,0,central,1000,60,0.25,isolated_fastest,v5-00038,38,7121554238069069901,10000,302,302,63585.05669165392,20404.60755590457,52789.94440771658,45513.702739892266,0.4185077810318622,0.418507781031857,54.69440524279607,True,False,51.691614578377866,4291,4291,4291,0,True,0,0.0,0,0.0,simulated_sensitivity,,True
