phase,gpu,samples,power_mean_w
baseline,0,120,332.8028333333333
baseline,1,120,83.32900000000001
drain,0,1637,326.40225412339646
drain,1,1637,209.4702504581552
post,0,120,90.33024999999999
post,1,120,315.07391666666666
