phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,127.69695833333336
baseline,1,240,240,1.0,82.90995833333334
drain,0,51,51,1.0,100.15823529411762
drain,1,51,51,1.0,272.923137254902
post,0,240,240,1.0,95.517625
post,1,240,240,1.0,121.882
