kv_bytes_per_token,link_bps,crossover_bps_seattle,link_above_crossover,policy,total_cost_s,cost_weighted_duplication_factor,gap_robust,gap_abs_s
10000,5e+09,3.6e+09,True,request_level_no_reuse,0.7856,2.0373444,False,5.55111512e-17
10000,5e+09,3.6e+09,True,request_level_with_site_cache,0.3856,1,False,5.55111512e-17
10000,5e+09,3.6e+09,True,shared_state_aware,0.3856,1,False,5.55111512e-17
10000,2.5e+10,3.6e+09,True,request_level_no_reuse,0.15712,2.0373444,False,0
10000,2.5e+10,3.6e+09,True,request_level_with_site_cache,0.07712,1,False,0
10000,2.5e+10,3.6e+09,True,shared_state_aware,0.07712,1,False,0
10000,1e+11,3.6e+09,True,request_level_no_reuse,0.03928,2.0373444,False,0
10000,1e+11,3.6e+09,True,request_level_with_site_cache,0.01928,1,False,0
10000,1e+11,3.6e+09,True,shared_state_aware,0.01928,1,False,0
10000,4e+11,3.6e+09,True,request_level_no_reuse,0.00982,2.0373444,False,0
10000,4e+11,3.6e+09,True,request_level_with_site_cache,0.00482,1,False,0
10000,4e+11,3.6e+09,True,shared_state_aware,0.00482,1,False,0
70656,5e+09,2.54362e+10,False,request_level_no_reuse,1.08613333,2.03751876,False,-1.11022302e-16
70656,5e+09,2.54362e+10,False,request_level_with_site_cache,0.533066667,1,False,-1.11022302e-16
70656,5e+09,2.54362e+10,False,shared_state_aware,0.533066667,1,False,-1.11022302e-16
70656,2.5e+10,2.54362e+10,False,request_level_no_reuse,1.07589333,2.03788261,False,0
70656,2.5e+10,2.54362e+10,False,request_level_with_site_cache,0.527946667,1,False,0
70656,2.5e+10,2.54362e+10,False,shared_state_aware,0.527946667,1,False,0
70656,1e+11,2.54362e+10,True,request_level_no_reuse,0.273654784,2.03788419,False,0
70656,1e+11,2.54362e+10,True,request_level_with_site_cache,0.134283776,1,False,0
70656,1e+11,2.54362e+10,True,shared_state_aware,0.134283776,1,False,0
70656,4e+11,2.54362e+10,True,request_level_no_reuse,0.068413696,2.03788419,False,0
70656,4e+11,2.54362e+10,True,request_level_with_site_cache,0.033570944,1,False,0
70656,4e+11,2.54362e+10,True,shared_state_aware,0.033570944,1,False,0
327680,5e+09,1.17965e+11,False,request_level_no_reuse,1.08613333,2.03751876,False,-1.11022302e-16
327680,5e+09,1.17965e+11,False,request_level_with_site_cache,0.533066667,1,False,-1.11022302e-16
327680,5e+09,1.17965e+11,False,shared_state_aware,0.533066667,1,False,-1.11022302e-16
327680,2.5e+10,1.17965e+11,False,request_level_no_reuse,1.07589333,2.03788261,False,0
327680,2.5e+10,1.17965e+11,False,request_level_with_site_cache,0.527946667,1,False,0
327680,2.5e+10,1.17965e+11,False,shared_state_aware,0.527946667,1,False,0
327680,1e+11,1.17965e+11,False,request_level_no_reuse,1.07397333,2.03795162,False,-1.11022302e-16
327680,1e+11,1.17965e+11,False,request_level_with_site_cache,0.526986667,1,False,-1.11022302e-16
327680,1e+11,1.17965e+11,False,shared_state_aware,0.526986667,1,False,-1.11022302e-16
327680,4e+11,1.17965e+11,True,request_level_no_reuse,0.31669888,2.03795513,False,0
327680,4e+11,1.17965e+11,True,request_level_with_site_cache,0.15540032,1,False,0
327680,4e+11,1.17965e+11,True,shared_state_aware,0.15540032,1,False,0
