scenario,workflow_id,oracle_dst,oracle_prompt_mode,oracle_workspace_mode,mixed_dst,mixed_prompt_mode,mixed_workspace_mode,diff_dst,diff_prompt_mode,diff_workspace_mode
tiny_prefill_pressure,wf_0000,seattle,context_replay,artifact_copy,austin,kv_transfer,workspace_hydrate,True,True,True
tiny_prefill_pressure,wf_0001,seattle,kv_transfer,artifact_copy,seattle,kv_transfer,artifact_copy,False,False,False
tiny_prefill_pressure,wf_0002,austin,kv_transfer,artifact_copy,seattle,kv_transfer,workspace_hydrate,True,False,True
tiny_prefill_pressure,wf_0003,austin,context_replay,artifact_copy,austin,kv_transfer,workspace_hydrate,False,True,True
medium_multi_resource,wf_0000,seattle,kv_transfer,workspace_hydrate,austin,context_replay,workspace_hydrate,True,True,False
medium_multi_resource,wf_0001,seattle,context_replay,workspace_hydrate,seattle,context_replay,workspace_hydrate,False,False,False
medium_multi_resource,wf_0002,austin,kv_transfer,artifact_copy,seattle,context_replay,artifact_copy,True,True,False
medium_multi_resource,wf_0003,austin,context_replay,workspace_hydrate,austin,context_replay,artifact_copy,False,False,True
monorepo_workspace_pressure,wf_0000,seattle,kv_transfer,artifact_copy,austin,context_replay,artifact_copy,True,True,False
monorepo_workspace_pressure,wf_0001,austin,context_replay,artifact_copy,seattle,context_replay,artifact_copy,True,False,False
monorepo_workspace_pressure,wf_0002,austin,kv_transfer,artifact_copy,austin,context_replay,artifact_copy,False,True,False
monorepo_workspace_pressure,wf_0003,seattle,context_replay,artifact_copy,seattle,context_replay,artifact_copy,False,False,False
slow_link_network_pressure,wf_0000,seattle,kv_transfer,workspace_hydrate,austin,context_replay,workspace_hydrate,True,True,False
slow_link_network_pressure,wf_0001,seattle,context_replay,workspace_hydrate,seattle,context_replay,workspace_hydrate,False,False,False
slow_link_network_pressure,wf_0002,austin,kv_transfer,workspace_hydrate,austin,context_replay,workspace_hydrate,False,True,False
slow_link_network_pressure,wf_0003,austin,context_replay,workspace_hydrate,seattle,context_replay,workspace_hydrate,True,False,False
