timestamp,index,power_w,util_gpu,memory_mib
2026/07/09 23:51:05.006, 0, 85.86, 0, 74055
2026/07/09 23:51:05.010, 1, 83.31, 0, 74055
2026/07/09 23:51:05.261, 0, 86.47, 0, 74055
2026/07/09 23:51:05.261, 1, 83.31, 0, 74055
2026/07/09 23:51:05.512, 0, 86.19, 36, 74055
2026/07/09 23:51:05.512, 1, 83.31, 0, 74055
2026/07/09 23:51:05.762, 0, 126.54, 77, 74055
2026/07/09 23:51:05.762, 1, 83.04, 0, 74055
2026/07/09 23:51:06.012, 0, 128.86, 77, 74055
2026/07/09 23:51:06.012, 1, 83.22, 0, 74055
2026/07/09 23:51:06.262, 0, 127.19, 31, 74055
2026/07/09 23:51:06.262, 1, 83.04, 0, 74055
2026/07/09 23:51:06.513, 0, 127.19, 31, 74055
2026/07/09 23:51:06.513, 1, 83.31, 0, 74055
2026/07/09 23:51:06.763, 0, 129.59, 31, 74055
2026/07/09 23:51:06.763, 1, 82.95, 0, 74055
2026/07/09 23:51:07.013, 0, 127.66, 31, 74055
2026/07/09 23:51:07.013, 1, 83.31, 0, 74055
2026/07/09 23:51:07.263, 0, 128.66, 31, 74055
2026/07/09 23:51:07.263, 1, 83.31, 0, 74055
2026/07/09 23:51:07.514, 0, 125.66, 31, 74055
2026/07/09 23:51:07.514, 1, 83.22, 0, 74055
2026/07/09 23:51:07.764, 0, 377.47, 29, 74055
2026/07/09 23:51:07.764, 1, 83.22, 0, 74055
2026/07/09 23:51:08.014, 0, 128.06, 31, 74055
2026/07/09 23:51:08.014, 1, 83.31, 0, 74055
2026/07/09 23:51:08.264, 0, 127.79, 31, 74055
2026/07/09 23:51:08.265, 1, 83.31, 0, 74055
2026/07/09 23:51:08.515, 0, 128.99, 31, 74055
2026/07/09 23:51:08.515, 1, 83.55, 0, 74055
2026/07/09 23:51:08.765, 0, 132.92, 31, 74055
2026/07/09 23:51:08.765, 1, 83.55, 0, 74055
2026/07/09 23:51:09.015, 0, 125.07, 31, 74055
2026/07/09 23:51:09.015, 1, 82.95, 0, 74055
2026/07/09 23:51:09.265, 0, 115.31, 31, 74055
2026/07/09 23:51:09.266, 1, 83.22, 0, 74055
2026/07/09 23:51:09.516, 0, 134.30, 30, 74055
2026/07/09 23:51:09.516, 1, 83.31, 0, 74055
2026/07/09 23:51:09.766, 0, 125.53, 31, 74055
2026/07/09 23:51:09.766, 1, 82.95, 0, 74055
2026/07/09 23:51:10.016, 0, 126.14, 31, 74055
2026/07/09 23:51:10.016, 1, 83.22, 0, 74055
2026/07/09 23:51:10.266, 0, 182.23, 93, 74055
2026/07/09 23:51:10.266, 1, 82.95, 0, 74055
2026/07/09 23:51:10.517, 0, 130.19, 51, 74055
2026/07/09 23:51:10.517, 1, 86.65, 0, 74055
2026/07/09 23:51:10.767, 0, 122.34, 30, 74055
2026/07/09 23:51:10.767, 1, 83.04, 0, 74055
2026/07/09 23:51:11.017, 0, 125.34, 32, 74055
2026/07/09 23:51:11.017, 1, 83.04, 0, 74055
2026/07/09 23:51:11.267, 0, 126.27, 31, 74055
2026/07/09 23:51:11.267, 1, 83.04, 0, 74055
2026/07/09 23:51:11.517, 0, 132.78, 31, 74055
2026/07/09 23:51:11.517, 1, 83.04, 0, 74055
2026/07/09 23:51:11.767, 0, 134.77, 31, 74055
2026/07/09 23:51:11.767, 1, 83.04, 0, 74055
2026/07/09 23:51:12.017, 0, 127.19, 31, 74055
2026/07/09 23:51:12.018, 1, 83.31, 0, 74055
2026/07/09 23:51:12.268, 0, 135.04, 31, 74055
2026/07/09 23:51:12.268, 1, 83.31, 0, 74055
2026/07/09 23:51:12.518, 0, 125.93, 31, 74055
2026/07/09 23:51:12.518, 1, 83.31, 0, 74055
2026/07/09 23:51:12.768, 0, 126.54, 33, 74055
2026/07/09 23:51:12.768, 1, 83.31, 0, 74055
2026/07/09 23:51:13.018, 0, 129.32, 31, 74055
2026/07/09 23:51:13.018, 1, 83.31, 0, 74055
2026/07/09 23:51:13.268, 0, 249.27, 42, 74055
2026/07/09 23:51:13.268, 1, 83.22, 0, 74055
2026/07/09 23:51:13.519, 0, 142.02, 84, 74055
2026/07/09 23:51:13.519, 1, 83.31, 0, 74055
2026/07/09 23:51:13.769, 0, 144.15, 35, 74055
2026/07/09 23:51:13.769, 1, 83.31, 0, 74055
2026/07/09 23:51:14.019, 0, 149.33, 36, 74055
2026/07/09 23:51:14.019, 1, 83.31, 0, 74055
2026/07/09 23:51:14.269, 0, 128.53, 37, 74055
2026/07/09 23:51:14.269, 1, 83.55, 0, 74055
2026/07/09 23:51:14.519, 0, 145.40, 36, 74055
2026/07/09 23:51:14.519, 1, 83.31, 0, 74055
2026/07/09 23:51:14.770, 0, 145.85, 36, 74055
2026/07/09 23:51:14.770, 1, 83.22, 0, 74055
