phase,gpu,samples,power_mean_w
baseline,0,480,345.27704166666666
baseline,1,480,81.24329166666668
drain,0,298,319.0704697986577
drain,1,298,230.23144295302015
post,0,479,142.74192066805847
post,1,479,211.02561586638834
