phase,gpu,samples,power_mean_w
baseline,0,120,353.1435
baseline,1,120,86.4125
drain,0,868,338.290069124424
drain,1,868,123.47632488479262
post,0,119,92.2642016806723
post,1,119,97.4074789915966
