run_id,cut_point_kind,package_type,structurally_valid,validity_reason,bytes_moved,lazy_bytes_required_later,model_resume_s,environment_resume_s,task_resume_s,provenance
extract-safely__gpt54mini,post_run_measured_snapshot,prompt_transcript_only,False,lacks_measured_dirty_environment_state,899,4505,1.798e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54mini,post_run_measured_snapshot,base_repo_plus_diff,False,no_nonempty_diff_for_dirty_workspace,899,4505,1.798e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54mini,post_run_measured_snapshot,full_workspace_snapshot,True,workspace_retained,115354677,0,0.0230709354,0.115354677,0.115354677,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,prompt_transcript_only,False,lacks_measured_dirty_environment_state,646,3301,1.292e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,base_repo_plus_diff,False,no_nonempty_diff_for_dirty_workspace,646,3301,1.292e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,full_workspace_snapshot,True,workspace_retained,115354424,0,0.0230708848,0.115354424,0.115354424,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,prompt_transcript_only,False,lacks_measured_dirty_environment_state,542,3200,1.084e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,base_repo_plus_diff,False,no_nonempty_diff_for_dirty_workspace,542,3200,1.084e-07,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54,post_run_measured_snapshot,full_workspace_snapshot,True,workspace_retained,115354320,0,0.023070864,0.11535432,0.11535432,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54mini,post_run_measured_snapshot,prompt_transcript_only,False,lacks_measured_dirty_environment_state,430,4296,8.6e-08,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54mini,post_run_measured_snapshot,base_repo_plus_diff,False,no_nonempty_diff_for_dirty_workspace,430,4296,8.6e-08,inf,inf,measured_snapshot_cost_dirty_payload_headline
extract-safely__gpt54mini,post_run_measured_snapshot,full_workspace_snapshot,True,workspace_retained,115354192,0,0.0230708384,0.115354192,0.115354192,measured_snapshot_cost_dirty_payload_headline
classifier-debug__gpt54,post_run_measured_snapshot,prompt_transcript_only,True,no_dirty_environment_state,0,0,0.0,0.0,0.0,measured_snapshot_cost_dirty_payload_headline
classifier-debug__gpt54,post_run_measured_snapshot,base_repo_plus_diff,False,no_nonempty_diff_for_dirty_workspace,0,0,0.0,inf,inf,measured_snapshot_cost_dirty_payload_headline
classifier-debug__gpt54,post_run_measured_snapshot,full_workspace_snapshot,True,workspace_retained,11004,0,2.2008e-06,1.1004e-05,1.1004e-05,measured_snapshot_cost_dirty_payload_headline
