layer,source_field,mobility_class,runs_with_measured_or_trace_bytes,runs_missing,p50_bytes,p75_bytes,p90_bytes,p95_bytes,max_bytes,provenance_summary
clean_repo,clean_repo_bytes,globally_available,0,232,0,0,0,0,0,missing
initial_workspace,initial_workspace_bytes,globally_available_if_reconstructable,0,232,0,0,0,0,0,missing
full_workspace_snapshot,final_workspace_bytes,representation_cost_not_mobile_headline,232,0,1738,8135,11004,115353736,115353778,measured
unchanged_initial_workspace,unchanged_initial_bytes,globally_available_if_reconstructable,232,0,0,0,0,0,0,missing_without_initial_workspace_manifest
modified_files_patch,modified_file_bytes,must_move,104,128,0,0,0,0,0,missing;patch_file_bytes
new_or_touched_files,new_file_bytes,must_move_upper_bound,30,202,0,0,13,506,10003,missing;trace_derived_touched_file_upper_bound
uncommitted_diff,final_diff_bytes,must_move,104,128,0,0,0,0,0,measured;missing
files_touched,touched_file_bytes,must_move,30,202,0,0,13,506,10003,missing;trace_derived
files_read,read_file_bytes,cheaply_rehydratable,75,157,0,113,1738,6895,12650,missing;trace_derived
tool_outputs,tool_output_bytes,must_move,101,131,0,2013,7332,11476,35226,lower_bound_transcript_snippet_bytes;missing
test_logs,test_log_bytes,can_be_discarded,104,128,0,5317,14994,31942,154388,measured;missing
build_artifacts,build_artifact_bytes,can_be_recomputed,232,0,0,0,0,0,10718,measured
dependency_cache,dependency_cache_bytes,cheaply_rehydratable,232,0,0,0,0,0,0,measured
retrieved_documents,retrieved_document_bytes,must_move,232,0,0,0,0,202,230,measured
