dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,6.101680278778076,6.101680278778076,7.228480339050293,1.1267528533935547,1.8596649169921875e-05
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,4.758633852005005,4.758633852005005,4.758734941482544,7.343292236328125e-05,4.291534423828125e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,1.6330409049987793,1.6330409049987793,1.633101224899292,3.600120544433594e-05,4.291534423828125e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,1.477203369140625,1.477203369140625,1.4772446155548096,2.002716064453125e-05,3.0994415283203125e-06
4,codex:e6744833-786a-9c87-c539-3a40cda50680,R,5.148897409439087,5.148897409439087,5.148948431015015,2.0503997802734375e-05,5.0067901611328125e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,8.833277463912964,9.179890632629395,11.709510803222656,2.529536485671997,2.0503997802734375e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,2.3325555324554443,2.3325555324554443,2.332606792449951,1.6927719116210938e-05,3.5762786865234375e-06
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,1.5025501251220703,1.5025501251220703,1.5026886463165283,0.00010538101196289062,4.5299530029296875e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,4.9022650718688965,5.053234100341797,5.053399324417114,0.00013184547424316406,4.76837158203125e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,1.827258586883545,1.827258586883545,1.8273179531097412,2.6464462280273438e-05,3.814697265625e-06
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,5.652669191360474,5.784403324127197,5.784443140029907,1.5974044799804688e-05,3.0994415283203125e-06
