phase,gpu,samples,power_mean_w
baseline,0,239,191.5129288702929
baseline,1,239,82.3003347280335
drain,0,283,142.24219081272085
drain,1,283,120.73501766784453
post,0,240,128.65170833333335
post,1,240,138.154625
