offered_rps,realized_rps_median,p90_ttft_s_median,p90_ttft_s_ci_low,p90_ttft_s_ci_high,p90_ttft_s_ci_block5_low,p90_ttft_s_ci_block5_high,p90_ttft_s_ci_block10_low,p90_ttft_s_ci_block10_high,p90_tpot_s_median,p90_tpot_s_ci_low,p90_tpot_s_ci_high,p90_tpot_s_ci_block5_low,p90_tpot_s_ci_block5_high,p90_tpot_s_ci_block10_low,p90_tpot_s_ci_block10_high
0.5,0.44781603433163986,0.12399922349999999,0.1193946397,0.144123962,0.119857115,0.144123962,0.1193946397,0.12933570560000002,0.00608715254340176,0.005401150369501466,0.00628706002346041,0.005460120218963832,0.00628706002346041,0.005401150369501466,0.00628706002346041
1.0,1.0316570929389532,0.1276789961,0.1229531878,0.1356799686000001,0.1230985643,0.1356799686000001,0.1229531878,0.134892565,0.007634692571260997,0.007254514430889541,0.007857406049853372,0.0073167426427174975,0.007857406049853372,0.007254514430889541,0.007857406049853372
2.0,1.8217819336654077,0.1563158162,0.12886277100000001,0.171931208,0.129845931,0.171931208,0.12886277100000001,0.15959324480000003,0.011009620413000977,0.009082364616554251,0.011247133447702836,0.009478409014237537,0.011247133447702836,0.009082364616554251,0.011247133447702836
3.0,2.6600239525048828,0.20747900400000002,0.14738876854000008,0.352365621,0.14738876854000008,0.352365621,0.170520914,0.352365621,0.01357731159090909,0.012326810064516129,0.013730862271749756,0.012856758684164223,0.013710543168817204,0.012326810064516129,0.013730862271749756
4.0,3.8386758813631,0.25655944150000004,0.204230337,0.313296298,0.204230337,0.313296298,0.20681043930000004,0.313296298,0.014856966009579668,0.014090280329521017,0.015049952047898338,0.014375617801857282,0.015049952047898338,0.014090280329521017,0.015049952047898338
5.0,4.702280969314998,0.46352971280000005,0.293967899,0.584031805,0.293967899,0.584031805,0.2951756047,0.584031805,0.016024615425610948,0.014581534380645161,0.016109553265884653,0.015305759034604106,0.016109553265884653,0.014581534380645161,0.016109553265884653
6.0,5.841872199024809,0.6347209421,0.281389319,0.7031038286000001,0.32563170510000006,0.7031038286000001,0.281389319,0.7031038286000001,0.016715271401857284,0.01557519540518084,0.016972490873900292,0.01607818817595308,0.016972490873900292,0.01557519540518084,0.016972490873900292
7.0,6.636513160772816,0.603890091,0.4113408176000001,1.021656712,0.4113408176000001,1.021656712,0.429880479,1.021656712,0.01750653281544477,0.015936681853763443,0.017862070058651026,0.016354085463538615,0.017862070058651026,0.015936681853763443,0.017862070058651026
8.0,8.692677285213346,0.8830839164000001,0.498308206,0.964955861,0.5454030454000005,0.964955861,0.498308206,0.964955861,0.01671950436637341,0.015343491348973608,0.01691638859530792,0.015866862343108506,0.01691638859530792,0.015343491348973608,0.01691638859530792
10.0,11.600562548589178,1.457667319,1.0861309277,1.888474187,1.285998853,1.888474187,1.0861309277,1.888474187,0.017374689878103616,0.015830975956793742,0.017748444599217986,0.01633484956109971,0.017748444599217986,0.015830975956793742,0.017748444599217986
12.0,12.917837855735279,1.7282522634000002,1.279486953,1.867308011,1.3750158763,1.867308011,1.279486953,1.867308011,0.01710403331554252,0.015327390744868035,0.017429329434995113,0.015854338530847997,0.017429329434995113,0.015327390744868035,0.017429329434995113
14.0,15.223774424937472,2.2152345602,1.3796848062,2.3391112646,1.627939033,2.3391112646,1.3796848062,2.3391112646,0.01739705793998045,0.015407068043988269,0.017809487176930594,0.01604687103607038,0.017809487176930594,0.015407068043988269,0.017809487176930594
16.0,16.53194453303186,2.3077212961,1.3488105956000003,2.60278716,1.4959154880125,2.60278716,1.3488105956000003,2.60278716,0.017626857974095796,0.015921170395953085,0.017958984410557186,0.016320273306940372,0.017958984410557186,0.015921170395953085,0.017958984410557186
20.0,13.20683530714909,1.8094543848,1.183599271,1.895620101,1.2642491569000007,1.895620101,1.183599271,1.895620101,0.01705490369530792,0.015366603434017596,0.01746173502052786,0.01577522134622923,0.01746173502052786,0.015366603434017596,0.01746173502052786
24.0,21.73204336861654,2.9742747988000002,1.795415986,3.261801271,2.1086556073000002,3.261801271,1.795415986,3.261801271,0.016897901901466277,0.015172784473411534,0.017231461129032257,0.01567338986783969,0.017231461129032257,0.015172784473411534,0.017231461129032257
