cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,exact_p50_resume_s,aggregate_p50_resume_s,relative_p50_error,exact_dominant_bottleneck,aggregate_dominant_bottleneck,bottleneck_agrees,exact_best_policy,aggregate_best_policy,best_policy_agrees
n10_tiny_tight_100g,10,tiny,tight,100,replay_all,2.19563333,2.51075,0.143519713,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n10_tiny_tight_100g,10,tiny,tight,100,strong_reuse,0.435762104,0.437758925,0.00458236525,network,network,True,random_diversification,mixed_min_pressure,False
n10_tiny_tight_100g,10,tiny,tight,100,workspace_sticky,0.421484037,0.425758925,0.0101424664,network,network,True,random_diversification,mixed_min_pressure,False
n10_medium_loose_1g,10,medium,loose,1,kv_all,76.7235973,62.5758925,0.184398351,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_1g,10,medium,loose,1,mixed_min_pressure,2.50649944,1.25,0.501296518,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_1g,10,medium,loose,1,random_diversification,27.2744366,17.48147,0.35905294,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_1g,10,medium,loose,1,replay_all,39.9958092,20,0.49994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_1g,10,medium,loose,1,strong_reuse,39.9958092,20,0.49994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_1g,10,medium,loose,1,workspace_sticky,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,kv_all,4.17421741,2.5030357,0.40035809,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,mixed_min_pressure,2.50649944,1.25,0.501296518,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,random_diversification,2.72754361,1.5,0.450054623,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,replay_all,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,strong_reuse,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_25g,10,medium,loose,25,workspace_sticky,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,kv_all,4.68203185,2.5,0.466043786,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,mixed_min_pressure,2.49208636,1.25,0.498412247,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,random_diversification,2.9760396,1.5,0.495974448,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,replay_all,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,strong_reuse,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_loose_100g,10,medium,loose,100,workspace_sticky,4.99580921,2.5,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,kv_all,76.7235973,62.5758925,0.184398351,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,mixed_min_pressure,3.17419575,1.26381667,0.601846651,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,random_diversification,27.2744366,17.48147,0.35905294,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,replay_all,39.9580921,20,0.499475601,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,strong_reuse,39.9580921,20,0.499475601,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_1g,10,medium,tight,1,workspace_sticky,4.60793111,2.51075,0.455124233,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,kv_all,4.17421741,2.5030357,0.40035809,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,mixed_min_pressure,2.38963455,1.25,0.476907462,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,random_diversification,2.40894137,1.5,0.377319839,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,replay_all,4.60793111,2.51075,0.455124233,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,strong_reuse,4.17421741,2.5030357,0.40035809,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_25g,10,medium,tight,25,workspace_sticky,4.91878763,2.5,0.491744676,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_medium_tight_100g,10,medium,tight,100,kv_all,4.68203185,2.5,0.466043786,network,workspace,False,random_diversification,mixed_min_pressure,False
n10_medium_tight_100g,10,medium,tight,100,mixed_min_pressure,2.47185963,1.25,0.494307854,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n10_medium_tight_100g,10,medium,tight,100,random_diversification,2.19250857,1.5,0.31585216,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n10_medium_tight_100g,10,medium,tight,100,replay_all,4.60793111,2.51075,0.455124233,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n10_medium_tight_100g,10,medium,tight,100,strong_reuse,4.68203185,2.5,0.466043786,network,workspace,False,random_diversification,mixed_min_pressure,False
n10_medium_tight_100g,10,medium,tight,100,workspace_sticky,4.99289349,2.5,0.499288337,network,workspace,False,random_diversification,mixed_min_pressure,False
n10_monorepo_loose_1g,10,monorepo,loose,1,kv_all,436.723597,242.575892,0.444555105,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_1g,10,monorepo,loose,1,mixed_min_pressure,25.0064994,12.5,0.500129955,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_1g,10,monorepo,loose,1,random_diversification,241.229618,124.022305,0.485874472,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_1g,10,monorepo,loose,1,replay_all,399.995809,200,0.499994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_1g,10,monorepo,loose,1,strong_reuse,399.995809,200,0.499994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_1g,10,monorepo,loose,1,workspace_sticky,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,kv_all,48.0344464,25,0.479540166,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,mixed_min_pressure,25.0064994,12.5,0.500129955,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,random_diversification,29.7275436,15,0.495417442,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,replay_all,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,strong_reuse,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_25g,10,monorepo,loose,25,workspace_sticky,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,kv_all,49.5086116,25,0.495037344,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,mixed_min_pressure,25.0064994,12.5,0.500129955,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,random_diversification,29.9760396,15,0.499600341,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,replay_all,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,strong_reuse,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_loose_100g,10,monorepo,loose,100,workspace_sticky,49.9958092,25,0.499958089,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,kv_all,436.723597,242.575892,0.444555105,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,mixed_min_pressure,25.0649944,12.5,0.501296518,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,random_diversification,241.85992,124.022305,0.487214315,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,replay_all,399.958092,200,0.49994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,strong_reuse,399.958092,200,0.49994761,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_1g,10,monorepo,tight,1,workspace_sticky,49.9580921,25,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,kv_all,48.0344464,25,0.479540166,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,mixed_min_pressure,25.0649944,12.5,0.501296518,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,random_diversification,29.4089414,15,0.489951039,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,replay_all,49.9580921,25,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,strong_reuse,48.0344464,25,0.479540166,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_25g,10,monorepo,tight,25,workspace_sticky,49.9715739,25,0.499715578,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,kv_all,49.5086116,25,0.495037344,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,mixed_min_pressure,27.5450633,15,0.455437809,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,random_diversification,29.1925086,15,0.486169544,workspace,workspace,True,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,replay_all,49.9580921,25,0.499580569,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,strong_reuse,49.5086116,25,0.495037344,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n10_monorepo_tight_100g,10,monorepo,tight,100,workspace_sticky,49.9928935,25,0.499928925,network,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,kv_all,477.513732,366.331079,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,mixed_min_pressure,1.560236,1.08,0.307797027,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,random_diversification,13.4353006,119.461603,7.89162113,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,replay_all,24.1247871,12,0.502586285,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,strong_reuse,24.1247871,12,0.502586285,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_1g,100,tiny,loose,1,workspace_sticky,2.8914721,2.08953167,0.277346765,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_loose_25g,100,tiny,loose,25,kv_all,19.1005493,14.6532431,0.232836557,network,network,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_25g,100,tiny,loose,25,mixed_min_pressure,1.55650467,0.943075,0.394107184,workspace,prefill,False,random_diversification,mixed_min_pressure,False
n100_tiny_loose_25g,100,tiny,loose,25,random_diversification,1.34157949,4.77846411,2.56181958,network,network,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_25g,100,tiny,loose,25,replay_all,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_25g,100,tiny,loose,25,strong_reuse,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_25g,100,tiny,loose,25,workspace_sticky,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,kv_all,4.77513732,3.66331079,0.232836557,network,network,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,mixed_min_pressure,1.64547255,0.765,0.535087959,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,random_diversification,1.31010067,1.19461603,0.0881494432,workspace,network,False,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,replay_all,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,strong_reuse,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_loose_100g,100,tiny,loose,100,workspace_sticky,2.8914721,2.08953167,0.277346765,prefill,prefill,True,random_diversification,mixed_min_pressure,False
n100_tiny_tight_1g,100,tiny,tight,1,kv_all,477.513732,366.331079,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_1g,100,tiny,tight,1,mixed_min_pressure,14.0181648,10.21045,0.271627198,network,prefill,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_1g,100,tiny,tight,1,random_diversification,19.8730061,119.461603,5.01124976,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_1g,100,tiny,tight,1,replay_all,27.5219694,20.8953167,0.240776838,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_1g,100,tiny,tight,1,strong_reuse,27.5219694,20.8953167,0.240776838,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_1g,100,tiny,tight,1,workspace_sticky,26.7742333,20.8953167,0.21957367,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,kv_all,19.1005493,14.6532431,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,mixed_min_pressure,5.81646553,4.2954,0.26151028,workspace,prefill,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,random_diversification,6.01286111,5.48116667,0.0884261975,network,prefill,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,replay_all,26.7742333,20.8953167,0.21957367,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,strong_reuse,19.1005493,14.6532431,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_25g,100,tiny,tight,25,workspace_sticky,18.1717216,14.1732431,0.220038507,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,kv_all,4.77513732,3.66331079,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,mixed_min_pressure,2.17688654,1.54242665,0.291452894,workspace,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,random_diversification,2.34124574,5.48116667,1.34113258,workspace,prefill,False,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,replay_all,26.7742333,20.8953167,0.21957367,prefill,prefill,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,strong_reuse,4.77513732,3.66331079,0.232836557,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_tiny_tight_100g,100,tiny,tight,100,workspace_sticky,4.58793041,3.54331079,0.227688637,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,kv_all,853.513732,554.331079,0.350530568,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,mixed_min_pressure,25.1165031,12.5,0.502319255,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,random_diversification,212.715301,219.101603,0.0300227684,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,replay_all,400.134641,200,0.500168245,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,strong_reuse,400.134641,200,0.500168245,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_loose_1g,100,medium,loose,1,workspace_sticky,50.1346412,25,0.501342796,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
