cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,best_policy,best_p50_resume_s,dominant_bottleneck,strong_reuse_p50_resume_s,mixed_p50_resume_s,mixed_vs_strong_reuse_gap_frac
n10000_large_artifact_loose_100g,10000,large_artifact,loose,100,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_loose_1g,10000,large_artifact,loose,1,mixed_min_pressure,50000.0,network,800000.0,50000.0,0.9375
n10000_large_artifact_loose_25g,10000,large_artifact,loose,25,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_loose_5g,10000,large_artifact,loose,5,mixed_min_pressure,50000.0,network,160000.0,50000.0,0.6875
n10000_large_artifact_moderate_100g,10000,large_artifact,moderate,100,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_moderate_1g,10000,large_artifact,moderate,1,mixed_min_pressure,50000.0,network,800000.0,50000.0,0.9375
n10000_large_artifact_moderate_25g,10000,large_artifact,moderate,25,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_moderate_5g,10000,large_artifact,moderate,5,mixed_min_pressure,50000.0,network,160000.0,50000.0,0.6875
n10000_large_artifact_tight_100g,10000,large_artifact,tight,100,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_tight_1g,10000,large_artifact,tight,1,mixed_min_pressure,50000.0,network,800000.0,50000.0,0.9375
n10000_large_artifact_tight_25g,10000,large_artifact,tight,25,mixed_min_pressure,50000.0,workspace,100000.0,50000.0,0.5
n10000_large_artifact_tight_5g,10000,large_artifact,tight,5,mixed_min_pressure,50000.0,network,160000.0,50000.0,0.6875
n10000_medium_loose_100g,10000,medium,loose,100,mixed_min_pressure,1254.75,workspace,2500.0,1254.75,0.4981
n10000_medium_loose_1g,10000,medium,loose,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n10000_medium_loose_25g,10000,medium,loose,25,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n10000_medium_loose_5g,10000,medium,loose,5,mixed_min_pressure,1250.0,network,4000.0,1250.0,0.6875
n10000_medium_moderate_100g,10000,medium,moderate,100,mixed_min_pressure,1253.0,workspace,2500.0,1253.0,0.4988
n10000_medium_moderate_1g,10000,medium,moderate,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n10000_medium_moderate_25g,10000,medium,moderate,25,mixed_min_pressure,1252.0,workspace,2500.0,1252.0,0.4992
n10000_medium_moderate_5g,10000,medium,moderate,5,mixed_min_pressure,1250.0,network,4000.0,1250.0,0.6875
n10000_medium_tight_100g,10000,medium,tight,100,mixed_min_pressure,1258.5,workspace,2500.0,1258.5,0.4966
n10000_medium_tight_1g,10000,medium,tight,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n10000_medium_tight_25g,10000,medium,tight,25,mixed_min_pressure,1258.0,workspace,2500.0,1258.0,0.4968
n10000_medium_tight_5g,10000,medium,tight,5,mixed_min_pressure,1253.75,network,4000.0,1253.75,0.6865625
n10000_monorepo_loose_100g,10000,monorepo,loose,100,mixed_min_pressure,12500.0,workspace,25000.0,12500.0,0.5
n10000_monorepo_loose_1g,10000,monorepo,loose,1,mixed_min_pressure,12500.0,network,200000.0,12500.0,0.9375
n10000_monorepo_loose_25g,10000,monorepo,loose,25,mixed_min_pressure,12500.0,workspace,25000.0,12500.0,0.5
n10000_monorepo_loose_5g,10000,monorepo,loose,5,mixed_min_pressure,12500.0,network,40000.0,12500.0,0.6875
n10000_monorepo_moderate_100g,10000,monorepo,moderate,100,mixed_min_pressure,12500.0,workspace,25000.0,12500.0,0.5
n10000_monorepo_moderate_1g,10000,monorepo,moderate,1,mixed_min_pressure,12500.0,network,200000.0,12500.0,0.9375
n10000_monorepo_moderate_25g,10000,monorepo,moderate,25,mixed_min_pressure,12500.0,workspace,25000.0,12500.0,0.5
n10000_monorepo_moderate_5g,10000,monorepo,moderate,5,mixed_min_pressure,12500.0,network,40000.0,12500.0,0.6875
n10000_monorepo_tight_100g,10000,monorepo,tight,100,mixed_min_pressure,12520.0,workspace,25000.0,12520.0,0.4992
n10000_monorepo_tight_1g,10000,monorepo,tight,1,mixed_min_pressure,12500.0,network,200000.0,12500.0,0.9375
n10000_monorepo_tight_25g,10000,monorepo,tight,25,mixed_min_pressure,12500.0,workspace,25000.0,12500.0,0.5
n10000_monorepo_tight_5g,10000,monorepo,tight,5,mixed_min_pressure,12500.0,network,40000.0,12500.0,0.6875
n10000_swe_bench_loose_100g,10000,swe_bench,loose,100,mixed_min_pressure,83.0115,prefill,209.10952,83.0115,0.6030238125935156
n10000_swe_bench_loose_1g,10000,swe_bench,loose,1,mixed_min_pressure,108.768,network,1320.0,108.768,0.9176
n10000_swe_bench_loose_25g,10000,swe_bench,loose,25,mixed_min_pressure,94.15626,prefill,209.10952,94.15626,0.5497275303391256
n10000_swe_bench_loose_5g,10000,swe_bench,loose,5,mixed_min_pressure,108.6475974144,network,264.0,108.6475974144,0.5884560704
n10000_swe_bench_moderate_100g,10000,swe_bench,moderate,100,mixed_min_pressure,115.22553037056,network,367.79621388288,115.22553037056,0.686713658212773
n10000_swe_bench_moderate_1g,10000,swe_bench,moderate,1,mixed_min_pressure,326.436,network,1320.0,326.436,0.7527
n10000_swe_bench_moderate_25g,10000,swe_bench,moderate,25,mixed_min_pressure,223.68438,prefill,627.32856,223.68438,0.6434334505669564
n10000_swe_bench_moderate_5g,10000,swe_bench,moderate,5,mixed_min_pressure,298.168675,prefill,627.32856,298.168675,0.5247009398073634
n10000_swe_bench_tight_100g,10000,swe_bench,tight,100,mixed_min_pressure,153.03422201856,network,367.79621388288,153.03422201856,0.5839157222339113
n10000_swe_bench_tight_1g,10000,swe_bench,tight,1,mixed_min_pressure,1021.9437666666666,prefill,2091.0952,1021.9437666666666,0.5112877851440399
n10000_swe_bench_tight_25g,10000,swe_bench,tight,25,mixed_min_pressure,429.68220066816,network,1471.18485553152,429.68220066816,0.7079345949949156
n10000_swe_bench_tight_5g,10000,swe_bench,tight,5,mixed_min_pressure,832.4147,prefill,2091.0952,832.4147,0.601924053959858
n10000_tiny_loose_100g,10000,tiny,loose,100,mixed_min_pressure,75.045,prefill,209.10952,75.045,0.6411210737799026
n10000_tiny_loose_1g,10000,tiny,loose,1,mixed_min_pressure,108.72,network,1200.0,108.72,0.9094
n10000_tiny_loose_25g,10000,tiny,loose,25,mixed_min_pressure,93.95288,prefill,209.10952,93.95288,0.5507001307257556
n10000_tiny_loose_5g,10000,tiny,loose,5,mixed_min_pressure,108.403147776,network,240.0,108.403147776,0.5483202176
n10000_tiny_moderate_100g,10000,tiny,moderate,100,mixed_min_pressure,115.0284129024,network,366.59621388288,115.0284129024,0.6862258568247264
n10000_tiny_moderate_1g,10000,tiny,moderate,1,mixed_min_pressure,326.4,network,1200.0,326.4,0.728
n10000_tiny_moderate_25g,10000,tiny,moderate,25,mixed_min_pressure,223.283695,prefill,627.32856,223.283695,0.6440721669040543
n10000_tiny_moderate_5g,10000,tiny,moderate,5,mixed_min_pressure,297.369395,prefill,627.32856,297.369395,0.5259750408940412
n10000_tiny_tight_100g,10000,tiny,tight,100,mixed_min_pressure,152.96386031616,network,366.59621388288,152.96386031616,0.5827456626024271
n10000_tiny_tight_1g,10000,tiny,tight,1,mixed_min_pressure,1019.35115,prefill,2091.0952,1019.35115,0.5125276218892378
n10000_tiny_tight_25g,10000,tiny,tight,25,mixed_min_pressure,429.1799740416,network,1466.38485553152,429.1799740416,0.707321053935711
n10000_tiny_tight_5g,10000,tiny,tight,5,mixed_min_pressure,830.7521666666667,prefill,2091.0952,830.7521666666667,0.6027191078308312
n1000_large_artifact_loose_100g,1000,large_artifact,loose,100,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_loose_1g,1000,large_artifact,loose,1,mixed_min_pressure,5000.0,network,80000.0,5000.0,0.9375
n1000_large_artifact_loose_25g,1000,large_artifact,loose,25,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_loose_5g,1000,large_artifact,loose,5,mixed_min_pressure,5000.0,network,16000.0,5000.0,0.6875
n1000_large_artifact_moderate_100g,1000,large_artifact,moderate,100,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_moderate_1g,1000,large_artifact,moderate,1,mixed_min_pressure,5000.0,network,80000.0,5000.0,0.9375
n1000_large_artifact_moderate_25g,1000,large_artifact,moderate,25,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_moderate_5g,1000,large_artifact,moderate,5,mixed_min_pressure,5000.0,network,16000.0,5000.0,0.6875
n1000_large_artifact_tight_100g,1000,large_artifact,tight,100,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_tight_1g,1000,large_artifact,tight,1,mixed_min_pressure,5000.0,network,80000.0,5000.0,0.9375
n1000_large_artifact_tight_25g,1000,large_artifact,tight,25,mixed_min_pressure,5000.0,workspace,10000.0,5000.0,0.5
n1000_large_artifact_tight_5g,1000,large_artifact,tight,5,mixed_min_pressure,5000.0,network,16000.0,5000.0,0.6875
n1000_medium_loose_100g,1000,medium,loose,100,random_diversification,125.5,workspace,250.0,125.75,0.497
n1000_medium_loose_1g,1000,medium,loose,1,mixed_min_pressure,125.0,network,2000.0,125.0,0.9375
n1000_medium_loose_25g,1000,medium,loose,25,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n1000_medium_loose_5g,1000,medium,loose,5,mixed_min_pressure,125.0,network,400.0,125.0,0.6875
n1000_medium_moderate_100g,1000,medium,moderate,100,random_diversification,125.5,workspace,250.0,130.0,0.48
n1000_medium_moderate_1g,1000,medium,moderate,1,mixed_min_pressure,125.0,network,2000.0,125.0,0.9375
n1000_medium_moderate_25g,1000,medium,moderate,25,random_diversification,125.5,workspace,250.0,125.75,0.497
n1000_medium_moderate_5g,1000,medium,moderate,5,mixed_min_pressure,125.0,network,400.0,125.0,0.6875
n1000_medium_tight_100g,1000,medium,tight,100,random_diversification,125.5,workspace,250.0,127.5,0.49
n1000_medium_tight_1g,1000,medium,tight,1,mixed_min_pressure,125.25,network,2000.0,125.25,0.937375
n1000_medium_tight_25g,1000,medium,tight,25,random_diversification,125.5,workspace,250.0,127.5,0.49
n1000_medium_tight_5g,1000,medium,tight,5,mixed_min_pressure,127.5,network,400.0,127.5,0.68125
n1000_monorepo_loose_100g,1000,monorepo,loose,100,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_loose_1g,1000,monorepo,loose,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n1000_monorepo_loose_25g,1000,monorepo,loose,25,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_loose_5g,1000,monorepo,loose,5,mixed_min_pressure,1250.0,network,4000.0,1250.0,0.6875
n1000_monorepo_moderate_100g,1000,monorepo,moderate,100,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_moderate_1g,1000,monorepo,moderate,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n1000_monorepo_moderate_25g,1000,monorepo,moderate,25,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_moderate_5g,1000,monorepo,moderate,5,mixed_min_pressure,1250.0,network,4000.0,1250.0,0.6875
n1000_monorepo_tight_100g,1000,monorepo,tight,100,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_tight_1g,1000,monorepo,tight,1,mixed_min_pressure,1250.0,network,20000.0,1250.0,0.9375
n1000_monorepo_tight_25g,1000,monorepo,tight,25,mixed_min_pressure,1250.0,workspace,2500.0,1250.0,0.5
n1000_monorepo_tight_5g,1000,monorepo,tight,5,mixed_min_pressure,1250.0,network,4000.0,1250.0,0.6875
n1000_swe_bench_loose_100g,1000,swe_bench,loose,100,mixed_min_pressure,8.3655,prefill,21.705395,8.3655,0.6145889075043324
n1000_swe_bench_loose_1g,1000,swe_bench,loose,1,mixed_min_pressure,11.22,network,132.0,11.22,0.915
n1000_swe_bench_loose_25g,1000,swe_bench,loose,25,mixed_min_pressure,9.771311666666668,prefill,21.705395,9.771311666666668,0.5498210621522129
n1000_swe_bench_loose_5g,1000,swe_bench,loose,5,mixed_min_pressure,11.229529344,network,26.4,11.229529344,0.57463904
n1000_swe_bench_moderate_100g,1000,swe_bench,moderate,100,mixed_min_pressure,11.95278189312,network,38.12679333888,11.95278189312,0.6864991559379036
n1000_swe_bench_moderate_1g,1000,swe_bench,moderate,1,mixed_min_pressure,33.792,network,132.0,33.792,0.744
n1000_swe_bench_moderate_25g,1000,swe_bench,moderate,25,mixed_min_pressure,23.23149,prefill,65.116185,23.23149,0.6432301738807333
n1000_swe_bench_moderate_5g,1000,swe_bench,moderate,5,mixed_min_pressure,30.95024,prefill,65.116185,30.95024,0.524692056206917
n1000_swe_bench_tight_100g,1000,swe_bench,tight,100,mixed_min_pressure,15.896942016,network,38.12679333888,15.896942016,0.5830506417179068
n1000_swe_bench_tight_1g,1000,swe_bench,tight,1,mixed_min_pressure,106.05178333333333,prefill,217.05395,106.05178333333333,0.5114035780812405
n1000_swe_bench_tight_25g,1000,swe_bench,tight,25,mixed_min_pressure,44.65832973312,network,152.50717335552,44.65832973312,0.7071722677003928
n1000_swe_bench_tight_5g,1000,swe_bench,tight,5,mixed_min_pressure,86.3159,prefill,217.05395,86.3159,0.602329743365647
n1000_tiny_loose_100g,1000,tiny,loose,100,mixed_min_pressure,7.68,prefill,21.705395,7.68,0.6461709174147717
n1000_tiny_loose_1g,1000,tiny,loose,1,mixed_min_pressure,11.28,network,120.0,11.28,0.906
n1000_tiny_loose_25g,1000,tiny,loose,25,mixed_min_pressure,9.746808333333334,prefill,21.705395,9.746808333333334,0.5509499673545064
n1000_tiny_loose_5g,1000,tiny,loose,5,mixed_min_pressure,11.208,network,24.0,11.208,0.533
n1000_tiny_moderate_100g,1000,tiny,moderate,100,mixed_min_pressure,11.95147041792,network,38.00679333888,11.95147041792,0.6855438365621352
n1000_tiny_moderate_1g,1000,tiny,moderate,1,mixed_min_pressure,33.84,network,120.0,33.84,0.718
n1000_tiny_moderate_25g,1000,tiny,moderate,25,mixed_min_pressure,23.203285,prefill,65.116185,23.203285,0.6436633227207644
n1000_tiny_moderate_5g,1000,tiny,moderate,5,mixed_min_pressure,30.878625,prefill,65.116185,30.878625,0.5257918595814544
n1000_tiny_tight_100g,1000,tiny,tight,100,mixed_min_pressure,15.8909223168,network,38.00679333888,15.8909223168,0.5818925796998511
n1000_tiny_tight_1g,1000,tiny,tight,1,mixed_min_pressure,105.83025,prefill,217.05395,105.83025,0.5124242152699824
n1000_tiny_tight_25g,1000,tiny,tight,25,mixed_min_pressure,44.57065242624,network,152.02717335552,44.57065242624,0.706824435115884
n1000_tiny_tight_5g,1000,tiny,tight,5,mixed_min_pressure,86.33286666666666,prefill,217.05395,86.33286666666666,0.6022515753955795
n100_large_artifact_loose_100g,100,large_artifact,loose,100,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_loose_1g,100,large_artifact,loose,1,mixed_min_pressure,500.0,network,8000.0,500.0,0.9375
n100_large_artifact_loose_25g,100,large_artifact,loose,25,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_loose_5g,100,large_artifact,loose,5,mixed_min_pressure,500.0,network,1600.0,500.0,0.6875
n100_large_artifact_moderate_100g,100,large_artifact,moderate,100,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_moderate_1g,100,large_artifact,moderate,1,mixed_min_pressure,500.0,network,8000.0,500.0,0.9375
n100_large_artifact_moderate_25g,100,large_artifact,moderate,25,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_moderate_5g,100,large_artifact,moderate,5,mixed_min_pressure,500.0,network,1600.0,500.0,0.6875
n100_large_artifact_tight_100g,100,large_artifact,tight,100,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_tight_1g,100,large_artifact,tight,1,mixed_min_pressure,500.0,network,8000.0,500.0,0.9375
n100_large_artifact_tight_25g,100,large_artifact,tight,25,mixed_min_pressure,500.0,workspace,1000.0,500.0,0.5
n100_large_artifact_tight_5g,100,large_artifact,tight,5,mixed_min_pressure,500.0,network,1600.0,500.0,0.6875
n100_medium_loose_100g,100,medium,loose,100,mixed_min_pressure,13.0,workspace,25.0,13.0,0.48
n100_medium_loose_1g,100,medium,loose,1,mixed_min_pressure,12.5,network,200.0,12.5,0.9375
n100_medium_loose_25g,100,medium,loose,25,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
