cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,p50_resume_s,p90_resume_s,p95_resume_s,makespan_s,dominant_bottleneck
n10_tiny_moderate_1g,10,tiny,moderate,1,random_diversification,9.96146995,17.9306459,18.9267929,19.9229399,network
n10_tiny_moderate_1g,10,tiny,moderate,1,mixed_min_pressure,0.379145,0.682461,0.7203755,0.75829,prefill
n10_tiny_moderate_5g,10,tiny,moderate,5,strong_reuse,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_5g,10,tiny,moderate,5,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_5g,10,tiny,moderate,5,kv_all,8.7551785,15.7593213,16.6348391,17.510357,network
n10_tiny_moderate_5g,10,tiny,moderate,5,workspace_sticky,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_5g,10,tiny,moderate,5,random_diversification,1.99229399,3.58612918,3.78535858,3.98458798,network
n10_tiny_moderate_5g,10,tiny,moderate,5,mixed_min_pressure,0.379145,0.682461,0.7203755,0.75829,prefill
n10_tiny_moderate_25g,10,tiny,moderate,25,strong_reuse,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_25g,10,tiny,moderate,25,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_25g,10,tiny,moderate,25,kv_all,1.7510357,3.15186426,3.32696783,3.5020714,network
n10_tiny_moderate_25g,10,tiny,moderate,25,workspace_sticky,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_25g,10,tiny,moderate,25,random_diversification,0.398458798,0.717225837,0.757071716,0.796917596,network
n10_tiny_moderate_25g,10,tiny,moderate,25,mixed_min_pressure,0.28559,0.514062,0.542621,0.57118,prefill
n10_tiny_moderate_100g,10,tiny,moderate,100,strong_reuse,0.437758925,0.787966065,0.831741957,0.87551785,network
n10_tiny_moderate_100g,10,tiny,moderate,100,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_tiny_moderate_100g,10,tiny,moderate,100,kv_all,0.437758925,0.787966065,0.831741957,0.87551785,network
n10_tiny_moderate_100g,10,tiny,moderate,100,workspace_sticky,0.425758925,0.766366065,0.808941957,0.85151785,network
n10_tiny_moderate_100g,10,tiny,moderate,100,random_diversification,0.294835,0.530703,0.5601865,0.58967,prefill
n10_tiny_moderate_100g,10,tiny,moderate,100,mixed_min_pressure,0.159151227,0.286472208,0.302387331,0.318302454,network
n10_tiny_tight_1g,10,tiny,tight,1,strong_reuse,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_1g,10,tiny,tight,1,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_1g,10,tiny,tight,1,kv_all,43.7758925,78.7966065,83.1741957,87.551785,network
n10_tiny_tight_1g,10,tiny,tight,1,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_1g,10,tiny,tight,1,random_diversification,9.96146995,17.9306459,18.9267929,19.9229399,network
n10_tiny_tight_1g,10,tiny,tight,1,mixed_min_pressure,1.26381667,2.27487,2.40125167,2.52763333,prefill
n10_tiny_tight_5g,10,tiny,tight,5,strong_reuse,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_5g,10,tiny,tight,5,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_5g,10,tiny,tight,5,kv_all,8.7551785,15.7593213,16.6348391,17.510357,network
n10_tiny_tight_5g,10,tiny,tight,5,workspace_sticky,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_5g,10,tiny,tight,5,random_diversification,1.99229399,3.58612918,3.78535858,3.98458798,network
n10_tiny_tight_5g,10,tiny,tight,5,mixed_min_pressure,1.12413333,2.02344,2.13585333,2.24826667,prefill
n10_tiny_tight_25g,10,tiny,tight,25,strong_reuse,1.7510357,3.15186426,3.32696783,3.5020714,network
n10_tiny_tight_25g,10,tiny,tight,25,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_25g,10,tiny,tight,25,kv_all,1.7510357,3.15186426,3.32696783,3.5020714,network
n10_tiny_tight_25g,10,tiny,tight,25,workspace_sticky,1.7030357,3.06546426,3.23576783,3.4060714,network
n10_tiny_tight_25g,10,tiny,tight,25,random_diversification,0.982783333,1.76901,1.86728833,1.96556667,prefill
n10_tiny_tight_25g,10,tiny,tight,25,mixed_min_pressure,0.636604908,1.14588883,1.20954932,1.27320982,network
