workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.25,40,600,replay_only,-0.000433713549257031,-0.000433713549257031
measured_pack,0.25,40,1800,greedy,-0.0013068738619239628,-0.0013068738619239628
measured_pack,0.25,40,1800,isolated_fastest,-0.001306872861923658,-0.001306872861923658
measured_pack,0.25,40,1800,kv_only,0.9445594630893915,0.9445594630893915
measured_pack,0.25,40,1800,replay_only,-0.001306872861923658,-0.001306872861923658
measured_pack,0.25,40,3600,greedy,-0.002616612830925291,-0.002616612830925291
measured_pack,0.25,40,3600,isolated_fastest,-0.0026166118309249864,-0.0026166118309249864
measured_pack,0.25,40,3600,kv_only,0.8891160581342056,0.8891160581342056
measured_pack,0.25,40,3600,replay_only,-0.0026166118309249864,-0.0026166118309249864
measured_pack,0.25,100,1,greedy,0.0,0.0
measured_pack,0.25,100,1,isolated_fastest,0.0,0.0
measured_pack,0.25,100,1,kv_only,0.0,0.0
measured_pack,0.25,100,1,replay_only,0.0,0.0
measured_pack,0.25,100,3,greedy,0.0,0.0
measured_pack,0.25,100,3,isolated_fastest,0.0,0.0
measured_pack,0.25,100,3,kv_only,0.0,0.0
measured_pack,0.25,100,3,replay_only,0.0,0.0
measured_pack,0.25,100,10,greedy,-0.4525023898161191,-0.4214778804066561
measured_pack,0.25,100,10,isolated_fastest,-0.0010413974498274525,-0.0008391880903246829
measured_pack,0.25,100,10,kv_only,0.5474976101838809,0.5785221195933439
measured_pack,0.25,100,10,replay_only,-0.0010413974498274525,-0.0008391880903246829
measured_pack,0.25,100,30,greedy,-0.0007238898995209908,-0.0007238898995209908
measured_pack,0.25,100,30,isolated_fastest,-0.000723888899520686,-0.000723888899520686
measured_pack,0.25,100,30,kv_only,0.9975298646856021,0.9975298646856021
measured_pack,0.25,100,30,replay_only,-0.000723888899520686,-0.000723888899520686
measured_pack,0.25,100,60,greedy,-0.0002125586140148128,-0.0002125586140148128
measured_pack,0.25,100,60,isolated_fastest,-0.000212557614014508,-0.000212557614014508
measured_pack,0.25,100,60,kv_only,0.9952763044600531,0.9952763044600531
measured_pack,0.25,100,60,replay_only,-0.000212557614014508,-0.000212557614014508
measured_pack,0.25,100,120,greedy,-0.00043084844218177487,-0.00043084844218177487
measured_pack,0.25,100,120,isolated_fastest,-0.0004308474421814701,-0.0004308474421814701
measured_pack,0.25,100,120,kv_only,0.9905468764559542,0.9905468764559542
measured_pack,0.25,100,120,replay_only,-0.0004308474421814701,-0.0004308474421814701
measured_pack,0.25,100,300,greedy,-0.001085717926681773,-0.001085717926681773
measured_pack,0.25,100,300,isolated_fastest,-0.0010857169266814681,-0.0010857169266814681
measured_pack,0.25,100,300,kv_only,0.9763585908499081,0.9763585908499081
measured_pack,0.25,100,300,replay_only,-0.0010857169266814681,-0.0010857169266814681
measured_pack,0.25,100,600,greedy,-0.0010885840337575559,-0.0010885840337575559
measured_pack,0.25,100,600,isolated_fastest,-0.001088583033757251,-0.001088583033757251
measured_pack,0.25,100,600,kv_only,0.953800030581922,0.953800030581922
measured_pack,0.25,100,600,replay_only,-0.001088583033757251,-0.001088583033757251
measured_pack,0.25,100,1800,greedy,-0.00327148231542429,-0.00327148231542429
