state_id,repeat,policy,baseline,relief_delta_w,target_attained,baseline_target_attained,attainment_delta,result
392916f250a90afc,0,queue_haul,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,0,queue_haul,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,0,queue_haul,per_session_greedy,5.719246855919977,True,False,1,win
392916f250a90afc,0,greedy,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,0,greedy,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,0,greedy,per_session_greedy,5.719246855919977,True,False,1,win
392916f250a90afc,1,greedy,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,1,greedy,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,1,greedy,per_session_greedy,5.550493449231766,True,False,1,win
392916f250a90afc,1,queue_haul,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,1,queue_haul,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,1,queue_haul,per_session_greedy,5.550493449231766,True,False,1,win
392916f250a90afc,2,greedy,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,2,greedy,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,2,greedy,per_session_greedy,6.835526388189862,True,False,1,win
392916f250a90afc,2,queue_haul,kv_only,80.71367688883842,True,False,1,win
392916f250a90afc,2,queue_haul,replay_only,58.18087957955076,True,False,1,win
392916f250a90afc,2,queue_haul,per_session_greedy,6.835526388189862,True,False,1,win
a5e04a9c9bb1b726,0,greedy,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,0,greedy,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,0,greedy,per_session_greedy,27.445951530936355,True,False,1,win
a5e04a9c9bb1b726,0,queue_haul,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,0,queue_haul,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,0,queue_haul,per_session_greedy,27.445951530936355,True,False,1,win
a5e04a9c9bb1b726,1,queue_haul,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,1,queue_haul,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,1,queue_haul,per_session_greedy,32.29789669640964,True,False,1,win
a5e04a9c9bb1b726,1,greedy,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,1,greedy,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,1,greedy,per_session_greedy,32.29789669640964,True,False,1,win
a5e04a9c9bb1b726,2,queue_haul,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,2,queue_haul,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,2,queue_haul,per_session_greedy,32.53811625318852,True,False,1,win
a5e04a9c9bb1b726,2,greedy,kv_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,2,greedy,replay_only,80.71367688883842,True,False,1,win
a5e04a9c9bb1b726,2,greedy,per_session_greedy,32.53811625318852,True,False,1,win
b040b53df88fed70,0,queue_haul,kv_only,80.71367688883842,True,False,1,win
b040b53df88fed70,0,queue_haul,replay_only,100.09464592892613,True,False,1,win
b040b53df88fed70,0,queue_haul,per_session_greedy,0.0,True,True,0,tie
b040b53df88fed70,0,greedy,kv_only,80.71367688883842,True,False,1,win
b040b53df88fed70,0,greedy,replay_only,100.09464592892613,True,False,1,win
b040b53df88fed70,0,greedy,per_session_greedy,0.0,True,True,0,tie
b040b53df88fed70,1,greedy,kv_only,80.71367688883842,True,False,1,win
b040b53df88fed70,1,greedy,replay_only,100.09464592892613,True,False,1,win
