phase,gpu,samples,power_mean_w
baseline,0,40,141.5445
baseline,1,40,84.97225
drain,0,36,164.88222222222223
drain,1,36,107.35166666666666
post,0,120,87.53741666666664
post,1,120,164.9825833333333
