plan,shed_w,state,time_s
adaptive,0.0,all-bind,0.0
adaptive,2.19802369921274,all-bind,3.32346702837396
adaptive,7.814433630001616,all-bind,3.323936930596182
adaptive,9.291843690069413,all-bind,6.646231973747921
adaptive,14.908253620858318,all-bind,8.745609981127874
adaptive,15.519691463833226,all-bind,9.96899691912188
adaptive,18.14646833880272,all-bind,12.802192400457217
adaptive,18.904682069987814,all-bind,13.29176186449584
adaptive,19.662895801172937,all-bind,16.6145268098698
adaptive,20.33577751279759,all-bind,19.937291755243763
adaptive,29.501417229070086,all-bind,21.08373901049046
adaptive,31.912460669746423,all-bind,22.206553563627978
adaptive,38.51702052231772,all-bind,22.280447870318255
adaptive,39.81702631901048,all-bind,23.260056700617724
adaptive,44.47515626192326,all-bind,23.329368116765494
adaptive,49.133286204836025,all-bind,24.445656859890317
adaptive,49.133286204836025,all-bind,90
robust,0.0,all-bind,0.0
robust,2.19802369921274,all-bind,3.32346702837396
robust,7.814433630001616,all-bind,3.323936930596182
robust,9.291843690069413,all-bind,6.646231973747921
robust,14.908253620858318,all-bind,8.745609981127874
robust,15.519691463833226,all-bind,9.96899691912188
robust,18.14646833880272,all-bind,12.802192400457217
robust,18.904682069987814,all-bind,13.29176186449584
robust,19.662895801172937,all-bind,16.6145268098698
robust,20.33577751279759,all-bind,19.937291755243763
robust,29.501417229070086,all-bind,21.08373901049046
robust,31.912460669746423,all-bind,22.206553563627978
robust,38.51702052231772,all-bind,22.280447870318255
robust,39.81702631901048,all-bind,23.260056700617724
robust,44.47515626192326,all-bind,23.329368116765494
robust,49.133286204836025,all-bind,24.445656859890317
robust,49.133286204836025,all-bind,90
adaptive,0.0,free-kv,0.0
adaptive,2.19802369921274,free-kv,3.32346702837396
adaptive,7.814433630001616,free-kv,3.3241865661517376
adaptive,9.291843690069413,free-kv,6.646231973747921
adaptive,14.908253620858318,free-kv,6.646951511525698
adaptive,15.519691463833226,free-kv,9.96899691912188
adaptive,15.98430051037127,free-kv,13.29176186449584
adaptive,24.483280675822215,free-kv,15.778696226248636
adaptive,28.07032178626031,free-kv,16.29041791801371
adaptive,28.828535517445403,free-kv,16.6145268098698
adaptive,29.501417229070086,free-kv,19.937291755243763
adaptive,33.85889057940493,free-kv,21.166033755771885
adaptive,38.51702052231772,free-kv,22.2888483089094
adaptive,39.81702631901048,free-kv,23.260056700617724
adaptive,44.475156261923246,free-kv,23.405137052034224
adaptive,46.40296019501733,free-kv,24.52795160517174
adaptive,51.06109013793011,free-kv,24.910440940971576
adaptive,51.06109013793011,free-kv,90
robust,0.0,free-kv,0.0
robust,2.19802369921274,free-kv,3.32346702837396
robust,7.814433630001616,free-kv,3.323936930596182
robust,9.291843690069413,free-kv,6.646231973747921
robust,14.908253620858318,free-kv,8.745609981127874
robust,15.519691463833226,free-kv,9.96899691912188
robust,18.14646833880272,free-kv,12.802192400457217
robust,18.904682069987814,free-kv,13.29176186449584
robust,19.662895801172937,free-kv,16.6145268098698
robust,20.33577751279759,free-kv,19.937291755243763
robust,29.501417229070086,free-kv,21.08373901049046
robust,31.912460669746423,free-kv,22.206553563627978
robust,38.51702052231772,free-kv,22.280447870318255
robust,39.81702631901048,free-kv,23.260056700617724
robust,44.47515626192326,free-kv,23.329368116765494
robust,49.133286204836025,free-kv,24.445656859890317
robust,49.133286204836025,free-kv,90
adaptive,0.0,free-service,0.0
adaptive,5.616409930788876,free-service,3.32346702837396
adaptive,6.08101897732692,free-service,3.323936930596182
adaptive,11.697428908115796,free-service,6.646231973747921
adaptive,12.16203795465384,free-service,6.646701875970142
adaptive,14.36006165386658,free-service,9.96899691912188
adaptive,15.837471713934377,free-service,13.29176186449584
adaptive,24.24366500234069,free-service,15.778446590693079
adaptive,25.241494407007337,free-service,16.6145268098698
adaptive,25.914376118631992,free-service,19.937291755243763
adaptive,29.501417229070086,free-service,21.254854311066
adaptive,33.85889057940493,free-service,22.371143054190824
adaptive,35.15889637609769,free-service,23.260056700617724
adaptive,39.81702631901048,free-service,23.49395760732834
adaptive,44.475156261923246,free-service,24.610246350453163
adaptive,49.133286204836025,free-service,24.91019130541602
adaptive,49.133286204836025,free-service,90
robust,0.0,free-service,0.0
robust,2.19802369921274,free-service,3.32346702837396
robust,7.814433630001616,free-service,3.323936930596182
robust,9.291843690069413,free-service,6.646231973747921
robust,14.908253620858318,free-service,8.745609981127874
robust,15.519691463833226,free-service,9.96899691912188
robust,18.14646833880272,free-service,12.802192400457217
robust,18.904682069987814,free-service,13.29176186449584
robust,19.662895801172937,free-service,16.6145268098698
robust,20.33577751279759,free-service,19.937291755243763
robust,29.501417229070086,free-service,21.08373901049046
robust,31.912460669746423,free-service,22.206553563627978
robust,38.51702052231772,free-service,22.280447870318255
robust,39.81702631901048,free-service,23.260056700617724
robust,44.47515626192326,free-service,23.329368116765494
robust,49.133286204836025,free-service,24.445656859890317
robust,49.133286204836025,free-service,90
adaptive,0.0,free-bandwidth,0.0
adaptive,2.19802369921274,free-bandwidth,3.3231441952512997
adaptive,7.814433630001616,free-bandwidth,3.32323398658592
