admission_mode,attainment_fraction,bandwidth,condition_id,east_kv_fraction,east_kv_transfer,east_replay,family,germany_kv_transfer,germany_load,germany_replay,predicted_makespan_s,requested_shed_w,restriction,selected_sessions,shed_w,target_met
normal,1.2858755617415494,natural,germany-service,0,3,5,original,3,0.95,6,23.759169456101716,37.113979472624806,joint,17,47.72395920282575,True
normal,0.7579830994786394,natural,germany-service,0,4,0,original,5,0.95,0,23.10085383305147,37.113979472624806,kv_only,9,28.13176919464675,False
normal,0.7896045633907433,natural,germany-service,0,0,5,original,0,0.95,4,24.90987734416806,37.113979472624806,replay_only,9,29.305367557174918,False
normal,0.8772674136635648,natural,germany-service,0,3,7,original,0,0.95,0,23.759249035917556,37.113979472624806,east_only,10,32.5588847827122,False
normal,0.1474809209993257,natural,germany-service,0,0,0,original,3,0.95,5,16.61482057116814,37.113979472624806,germany_only,8,5.473603874572774,False
normal,1.1740308538821047,natural,east-service-slow-path,0,3,4,original,5,0.25,7,24.960495375056247,47.6296069898685,joint,19,55.91862816438437,True
normal,0.7198732636941167,natural,east-service-slow-path,0,4,0,original,5,0.25,0,23.100853833051467,47.6296069898685,kv_only,9,34.28728063226475,False
normal,0.6152762831616182,natural,east-service-slow-path,0,0,5,original,0,0.25,4,24.90987734416806,47.6296069898685,replay_only,9,29.305367557174918,False
normal,0.22712477776799958,natural,east-service-slow-path,0,3,4,original,0,0.25,0,23.6330377761169,47.6296069898685,east_only,7,10.817863902751043,False
normal,0.8791830820154612,natural,east-service-slow-path,0,0,0,original,5,0.25,7,24.960495375056247,47.6296069898685,germany_only,12,41.87514466853774,False
normal,1.5286570021290062,controlled_40,joint-shaped,0,2,3,original,4,0.85,7,24.70524209726539,33.40258152536233,joint,16,51.06109013793011,True
normal,0.7824577979240468,controlled_40,joint-shaped,0,2,0,original,5,0.85,0,24.704044233598722,33.40258152536233,kv_only,7,26.136110385313458,False
normal,0.9125451936639201,controlled_40,joint-shaped,0,0,5,original,0,0.85,4,24.910134993370267,33.40258152536233,replay_only,9,30.481365226936646,False
normal,0.8176645878204745,controlled_40,joint-shaped,0,2,5,original,0,0.85,0,24.705430168376502,33.40258152536233,east_only,7,27.312108055075186,False
normal,0.48217659564107174,controlled_40,joint-shaped,0,0,0,original,4,0.85,7,23.261031278617722,33.40258152536233,germany_only,11,16.105943045522565,False
normal,1.2220140037548586,controlled_40,all-bind,0.9,1,3,toggle,4,0.75,7,24.445714628890315,40.20681109534354,joint,15,49.133286204836025,True
normal,0.6792905806508566,controlled_40,all-bind,0.9,2,0,toggle,5,0.75,0,24.704044233598722,40.20681109534354,kv_only,7,27.312108055075214,False
normal,0.7685053433419833,controlled_40,all-bind,0.9,0,3,toggle,0,0.75,5,22.770595242827465,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.5652583957995758,controlled_40,all-bind,0.9,0,5,toggle,0,0.75,0,22.42521754232989,40.20681109534354,east_only,5,22.727237539970474,False
normal,0.6045446966632363,controlled_40,all-bind,0.9,0,0,toggle,4,0.75,7,24.445714628890315,40.20681109534354,germany_only,11,24.306814417430502,False
normal,1.2699612017687132,controlled_40,free-kv,0,1,4,toggle,4,0.75,7,24.911306941082685,40.20681109534354,joint,16,51.06109013793011,True
normal,0.6792905806508566,controlled_40,free-kv,0,2,0,toggle,5,0.75,0,24.704044233598722,40.20681109534354,kv_only,7,27.312108055075214,False
normal,0.7685053433419833,controlled_40,free-kv,0,0,3,toggle,0,0.75,5,22.770595242827465,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.6792905806508558,controlled_40,free-kv,0,2,5,toggle,0,0.75,0,24.705430168376502,40.20681109534354,east_only,7,27.312108055075186,False
normal,0.6045446966632363,controlled_40,free-kv,0,0,0,toggle,4,0.75,7,24.445714628890315,40.20681109534354,germany_only,11,24.306814417430502,False
normal,1.2220140037548586,controlled_40,free-service,0.9,0,4,toggle,4,0.25,7,24.911306941082685,40.20681109534354,joint,15,49.133286204836025,True
