capacity,phase_one_marginal_ceiling_w,resource,shadow_w_per_full_capacity,shadow_w_per_unit,state,unit
2812500000.0,32.0002253941168,route:link/east,0.0,0.0,all-bind,bytes
10625000000.0,32.0002253941168,route:link/germany,0.0,0.0,all-bind,bytes
0.75,32.0002253941168,service:pool/east:0,0.0,0.0,all-bind,replica-s/s
373,32.0002253941168,kv:pool/east,1.8880293972630913,0.005061741011429199,all-bind,blocks
25.0,32.0002253941168,migration:pool/east:replay,0.0,0.0,all-bind,replica-s
25.0,32.0002253941168,migration:pool/east:kv_transfer,0.0,0.0,all-bind,replica-s
0.2499999999999999,32.0002253941168,service:pool/germany:0,0.01654798082847253,0.06619192331389015,all-bind,replica-s/s
3759,32.0002253941168,kv:pool/germany,0.0,0.0,all-bind,blocks
25.0,32.0002253941168,migration:pool/germany:replay,2.0677218873826715,0.08270887549530687,all-bind,replica-s
25.0,32.0002253941168,migration:pool/germany:kv_transfer,2.5087451609475764,0.10034980643790306,all-bind,replica-s
2812500000.0,32.85249429899755,route:link/east,0.0,0.0,free-kv,bytes
10625000000.0,32.85249429899755,route:link/germany,0.0,0.0,free-kv,bytes
0.75,32.85249429899755,service:pool/east:0,0.0,0.0,free-kv,replica-s/s
3759,32.85249429899755,kv:pool/east,0.0,0.0,free-kv,blocks
25.0,32.85249429899755,migration:pool/east:replay,1.6532630593550552,0.06613052237420221,free-kv,replica-s
25.0,32.85249429899755,migration:pool/east:kv_transfer,0.9460245432047558,0.03784098172819023,free-kv,replica-s
0.2499999999999999,32.85249429899755,service:pool/germany:0,0.010274823603715542,0.04109929441486219,free-kv,replica-s/s
3759,32.85249429899755,kv:pool/germany,0.0,0.0,free-kv,blocks
25.0,32.85249429899755,migration:pool/germany:replay,1.6512034240718083,0.06604813696287233,free-kv,replica-s
25.0,32.85249429899755,migration:pool/germany:kv_transfer,2.475661268118059,0.09902645072472235,free-kv,replica-s
2812500000.0,32.00891733065206,route:link/east,0.0,0.0,free-service,bytes
10625000000.0,32.00891733065206,route:link/germany,0.0,0.0,free-service,bytes
0.75,32.00891733065206,service:pool/east:0,0.0,0.0,free-service,replica-s/s
373,32.00891733065206,kv:pool/east,1.8848455820671228,0.005053205313852876,free-service,blocks
25.0,32.00891733065206,migration:pool/east:replay,0.0,0.0,free-service,replica-s
25.0,32.00891733065206,migration:pool/east:kv_transfer,0.0,0.0,free-service,replica-s
0.75,32.00891733065206,service:pool/germany:0,0.0,0.0,free-service,replica-s/s
3759,32.00891733065206,kv:pool/germany,0.0,0.0,free-service,blocks
25.0,32.00891733065206,migration:pool/germany:replay,2.090926260463974,0.08363705041855896,free-service,replica-s
25.0,32.00891733065206,migration:pool/germany:kv_transfer,2.509655236820726,0.10038620947282904,free-service,replica-s
7125550543.868472,32.56592621595993,route:link/east,0.0,0.0,free-bandwidth,bytes
27291604987.14322,32.56592621595993,route:link/germany,0.0,0.0,free-bandwidth,bytes
0.75,32.56592621595993,service:pool/east:0,0.0,0.0,free-bandwidth,replica-s/s
373,32.56592621595993,kv:pool/east,1.8683936316235543,0.005009098208106044,free-bandwidth,blocks
25.0,32.56592621595993,migration:pool/east:replay,0.0,0.0,free-bandwidth,replica-s
25.0,32.56592621595993,migration:pool/east:kv_transfer,0.0,0.0,free-bandwidth,replica-s
0.2499999999999999,32.56592621595993,service:pool/germany:0,0.02012561888831422,0.08050247555325692,free-bandwidth,replica-s/s
3759,32.56592621595993,kv:pool/germany,0.0,0.0,free-bandwidth,blocks
25.0,32.56592621595993,migration:pool/germany:replay,2.0401836804551143,0.08160734721820458,free-bandwidth,replica-s
25.0,32.56592621595993,migration:pool/germany:kv_transfer,3.040886182108104,0.12163544728432417,free-bandwidth,replica-s
7125550543.868472,34.170682457569825,route:link/east,0.0,0.0,all-release,bytes
27291604987.14322,34.170682457569825,route:link/germany,0.0,0.0,all-release,bytes
0.75,34.170682457569825,service:pool/east:0,0.0,0.0,all-release,replica-s/s
3759,34.170682457569825,kv:pool/east,0.0,0.0,all-release,blocks
25.0,34.170682457569825,migration:pool/east:replay,1.2719070854023837,0.05087628341609535,all-release,replica-s
25.0,34.170682457569825,migration:pool/east:kv_transfer,1.4823485560701528,0.05929394224280611,all-release,replica-s
0.75,34.170682457569825,service:pool/germany:0,0.0,0.0,all-release,replica-s/s
3759,34.170682457569825,kv:pool/germany,0.0,0.0,all-release,blocks
25.0,34.170682457569825,migration:pool/germany:replay,1.2719349531675395,0.05087739812670158,all-release,replica-s
25.0,34.170682457569825,migration:pool/germany:kv_transfer,2.3368862040266807,0.09347544816106723,all-release,replica-s
