capacity,resource,state,unit,used,utilization
2812500000.0,route:link/east,all-bind,bytes,679631520.0,0.24164676266666665
10625000000.0,route:link/germany,all-bind,bytes,6077743083.999998,0.5720228784941175
0.75,service:pool/east:0,all-bind,replica-s/s,0.3545840181697406,0.4727786908929875
373,kv:pool/east,all-bind,blocks,358.0,0.9597855227882037
25.0,migration:pool/east:replay,all-bind,replica-s,22.281167520762697,0.8912467008305079
25.0,migration:pool/east:kv_transfer,all-bind,replica-s,8.744238674461208,0.3497695469784483
0.2499999999999999,service:pool/germany:0,all-bind,replica-s/s,0.2461512857567126,0.9846051430268509
3759,kv:pool/germany,all-bind,blocks,872.0000000000001,0.23197658951848898
25.0,migration:pool/germany:replay,all-bind,replica-s,23.261031278617722,0.9304412511447089
25.0,migration:pool/germany:kv_transfer,all-bind,replica-s,24.445714628890315,0.9778285851556126
2812500000.0,route:link/east,free-kv,bytes,1547877484.0000002,0.5503564387555556
10625000000.0,route:link/germany,free-kv,bytes,6115491819.999999,0.5755757007058823
0.75,service:pool/east:0,free-kv,replica-s/s,0.3649148795516174,0.4865531727354898
3759,kv:pool/east,free-kv,blocks,476.0,0.1266294227188082
25.0,migration:pool/east:replay,free-kv,replica-s,24.911306941082685,0.9964522776433073
25.0,migration:pool/east:kv_transfer,free-kv,replica-s,16.288824069124825,0.651552962764993
0.2499999999999999,service:pool/germany:0,free-kv,replica-s/s,0.2391701624162588,0.9566806496650356
3759,kv:pool/germany,free-kv,blocks,875.0000000000001,0.23277467411545627
25.0,migration:pool/germany:replay,free-kv,replica-s,23.261031278617722,0.9304412511447089
25.0,migration:pool/germany:kv_transfer,free-kv,replica-s,24.528009374171738,0.9811203749668695
2812500000.0,route:link/east,free-service,bytes,179308.0,6.375395555555555e-05
10625000000.0,route:link/germany,free-service,bytes,6153240556.0,0.579128522917647
0.75,service:pool/east:0,free-service,replica-s/s,0.1479917791395694,0.19732237218609253
373,kv:pool/east,free-service,blocks,352.0,0.9436997319034852
25.0,migration:pool/east:replay,free-service,replica-s,24.911306941082685,0.9964522776433073
25.0,migration:pool/east:kv_transfer,free-service,replica-s,0.0,0.0
0.75,service:pool/germany:0,free-service,replica-s/s,0.4527435247868839,0.6036580330491785
3759,kv:pool/germany,free-service,blocks,877.9999999999999,0.2335727587124235
25.0,migration:pool/germany:replay,free-service,replica-s,23.261031278617722,0.9304412511447089
25.0,migration:pool/germany:kv_transfer,free-service,replica-s,24.610304119453165,0.9844121647781265
7125550543.868472,route:link/east,free-bandwidth,bytes,3095452520.0,0.43441590947153313
27291604987.14322,route:link/germany,free-bandwidth,bytes,7587692524.0,0.2780229498255775
0.75,service:pool/east:0,free-bandwidth,replica-s/s,0.3545840181697406,0.4727786908929875
373,kv:pool/east,free-bandwidth,blocks,358.0,0.9597855227882037
25.0,migration:pool/east:replay,free-bandwidth,replica-s,6.6460738422225605,0.26584295368890243
25.0,migration:pool/east:kv_transfer,free-bandwidth,replica-s,15.923214569563338,0.6369285827825335
0.2499999999999999,service:pool/germany:0,free-bandwidth,replica-s/s,0.24950102379813546,0.9980040951925423
3759,kv:pool/germany,free-bandwidth,blocks,993.0,0.2641660015961692
25.0,migration:pool/germany:replay,free-bandwidth,replica-s,23.260748799635394,0.9304299519854158
25.0,migration:pool/germany:kv_transfer,free-bandwidth,replica-s,24.906212357349165,0.9962484942939667
7125550543.868472,route:link/east,all-release,bytes,4605525100.0,0.6463395455054415
27291604987.14322,route:link/germany,all-release,bytes,7625441260.0,0.2794061127439102
0.75,service:pool/east:0,all-release,replica-s/s,0.2521938889890215,0.33625851865202866
3759,kv:pool/east,all-release,blocks,721.0000000000001,0.19180633147113596
25.0,migration:pool/east:replay,all-release,replica-s,24.91034219446069,0.9964136877784275
25.0,migration:pool/east:kv_transfer,all-release,replica-s,23.758906192756314,0.9503562477102525
0.75,service:pool/germany:0,all-release,replica-s/s,0.4008108248094733,0.5344144330792977
3759,kv:pool/germany,all-release,blocks,996.0000000000001,0.2649640861931365
25.0,migration:pool/germany:replay,all-release,replica-s,23.260748799635394,0.9304299519854158
25.0,migration:pool/germany:kv_transfer,all-release,replica-s,24.960495375056247,0.9984198150022499
