sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,requested_source_drop_w,planned_moves,moves_completed_by_deadline,modeled_source_drop_at_deadline_w,plan_feasible,makespan_s,plan_s
1,1,1,random,1,120,180,0.5,3.570239252672536,1,1,7.140478505344959,True,114.99129891998307,0.0005289167165756226
1,1,1,capacity,1,120,180,0.5,3.570239252672536,1,1,7.140478505344959,True,6.943746309564566,0.0006818748079240322
1,1,1,lp,1,120,180,0.5,3.570239252672536,1,1,7.140478505344959,True,6.943746309564566,0.005659083370119333
3,1,1,random,1,120,180,0.5,10.710717758017381,2,2,14.280957010689917,True,13.887492619129132,0.0004782089963555336
3,1,1,capacity,1,120,180,0.5,10.710717758017381,2,2,14.280957010689917,True,13.887492619129132,0.0007497500628232956
3,1,1,lp,1,120,180,0.5,10.710717758017381,2,2,14.280957010689917,True,13.887492619129132,0.0036777909845113754
10,1,1,random,1,120,180,0.5,32.03190409670265,6,1,2.4247706341601543,False,6.943746309564566,0.0007890001870691776
10,1,1,capacity,1,120,180,0.5,32.03190409670265,6,6,35.50189417202546,True,41.662477857387394,0.001271500252187252
10,1,1,lp,1,120,180,0.5,32.03190409670265,7,7,42.64237267737042,True,48.606224166951954,0.0047041247598826885
32,1,1,random,1,120,180,0.5,73.69218335954827,21,1,-0.5490146298748186,False,114.99129891998307,0.0010310839861631393
32,1,1,capacity,1,120,180,0.5,73.69218335954827,16,16,54.79799403179993,False,111.09994095303298,0.002766708377748728
32,1,1,lp,1,120,180,0.5,73.69218335954827,16,16,54.79799403179993,False,111.09994095303298,0.01044508395716548
100,3,1,random,1,120,180,0.5,202.0818566492452,65,5,15.212204236962407,False,114.99129891998305,0.002829624805599451
100,3,1,capacity,1,120,180,0.5,202.0818566492452,38,38,113.06021995656306,False,118.04602340359754,0.007522624917328358
100,3,1,lp,1,120,180,0.5,202.0818566492452,38,38,113.06021995656306,False,118.04602340359754,0.01930779218673706
316,7,1,random,1,120,180,0.5,620.9215053008556,210,4,-3.2251865512298536,False,6.945362292958327,0.007201625034213066
316,7,1,capacity,1,120,180,0.5,620.9215053008556,112,112,272.11492298062694,False,111.14009429703299,0.01716233277693391
316,7,1,lp,1,120,180,0.5,620.9215053008556,112,112,272.11492298062694,False,111.14009429703299,0.04451116593554616
1000,22,3,random,1,120,180,0.5,1945.6734845278174,663,21,0.4689067749786773,False,48.64805056695196,0.023126999847590923
1000,22,3,capacity,1,120,180,0.5,1945.6734845278174,349,348,829.3675156974759,False,118.10499862759757,0.057179083582013845
1000,22,3,lp,1,120,180,0.5,1945.6734845278174,349,348,829.3675156974723,False,118.10499862759757,0.1337615419179201
3162,68,9,random,1,120,180,0.5,6120.893893898981,2103,60,-26.833699420072662,False,55.710165588516524,0.0726636671461165
3162,68,9,capacity,1,120,180,0.5,6120.893893898981,1085,1034,2324.2007859196874,False,118.16731996359756,0.17514425003901124
3162,68,9,lp,1,120,180,0.5,6120.893893898981,1085,1034,2324.200785919682,False,118.16731996359756,0.4093414582312107
10000,213,27,random,1,120,180,0.5,19321.190963016335,6656,227,-16.722032692101493,False,63.07844985808111,0.25189458299428225
10000,213,27,capacity,1,120,180,0.5,19321.190963016335,3408,3408,7846.693515715488,False,112.51869244103298,0.5622057910077274
10000,213,27,lp,1,120,180,0.5,19321.190963016335,3408,3408,7846.693515715488,False,112.51869244103298,1.3324489160440862
31623,673,85,random,1,120,180,0.5,61076.92854760011,21049,705,-80.526023335231,False,114.13493586144415,1.004920792300254
31623,673,85,capacity,1,120,180,0.5,61076.92854760011,10768,10768,24550.869467240467,False,115.59711548103301,2.045861749909818
31623,673,85,lp,1,120,180,0.5,61076.92854760011,10768,10768,24550.869467240467,False,115.59711548103301,4.799931792076677
100000,2128,266,random,1,120,180,0.5,193130.93560850155,66563,2182,-341.4400650934549,False,91.03146991477477,3.7332798750139773
100000,2128,266,capacity,1,120,180,0.5,193130.93560850155,34048,20083,39806.21665170416,False,119.76090580359755,8.299644957762212
100000,2128,266,lp,1,120,180,0.5,193130.93560850155,34048,20083,39806.21665170416,False,119.76090580359755,16.731573791243136
