condition,repeat,cut_s,bandwidth_before_gbps,bandwidth_after_gbps,replay_rho_before,replay_rho_after,pre_cut_requests,repair_requests,outcome,changed_assignments,passed
bandwidth,0,17,10,1,0,0.8,0,1,proposal,1,True
bandwidth,1,9,10,1,0,0.8,0,1,proposal,1,True
bandwidth,2,6,10,1,0,0.8,0,1,proposal,1,True
replay,0,17,10,1,0,0.8,0,1,proposal,1,True
replay,1,9,10,1,0,0.8,0,1,proposal,1,True
replay,2,6,10,1,0,0.8,0,1,proposal,1,True
both,0,17,10,1,0,0.8,0,1,revised_maximum,0,True
both,1,9,10,1,0,0.8,0,1,revised_maximum,0,True
both,2,6,10,1,0,0.8,0,1,revised_maximum,0,True
