sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
1,1,1,node_aware,1.0,120.0,180.0,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.006264499854296446,0.0005200831219553947,0.00016916636377573013
1,1,1,node_drain,1.0,120.0,180.0,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.006264499854296446,0.0005896659567952156,0.00018441583961248398
3,1,1,node_aware,1.0,120.0,180.0,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.137082365543206,0.10033899999939422,0.000128374,0,0.0,0.00024270778521895409,0.0006780410185456276,0.00025070831179618835
3,1,1,node_drain,1.0,120.0,180.0,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,21.630786991734112,21.630786991734112,1.0,True,3,3,0,3,3,1,1,24.411247096629616,8.137082365543206,0.10033899999939422,0.000192561,0,0.0,0.00024270778521895409,0.0008437498472630978,0.00029520923271775246
10,1,1,node_aware,1.0,120.0,180.0,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,35.71549334502788,35.71549334502788,0.5532435887880467,True,6,6,0,6,6,0,0,33.619667964387396,5.603277994064566,0.10033900000006035,0.000313698,0,0.0,0.0002438342198729515,0.0011129998601973057,0.00044779200106859207
10,1,1,node_drain,1.0,120.0,180.0,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,64.55654266734007,64.55654266734007,1.0,True,10,10,0,10,10,1,1,66.16799742656023,8.137082365543211,0.10033899999988272,0.000570446,0,0.0,0.0002438342198729515,0.001579249743372202,0.0006874999962747097
32,1,1,node_aware,1.0,120.0,180.0,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,78.56092170685497,60.53845180905091,0.4084680496336846,False,21,21,0,18,21,0,0,143.00688159014226,8.137082365543208,0.10033899999939422,0.001216983,0,0.0,0.0004587080329656601,0.0032157497480511665,0.0013237078674137592
32,1,1,node_drain,1.0,120.0,180.0,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,148.2085364163537,60.53845180905091,0.4084680496336846,False,32,32,0,18,25,0,0,175.55521105231503,8.137082365543208,0.10033899999939422,0.001537918,0,0.0,0.0004587080329656601,0.0037060831673443317,0.00183208379894495
100,3,1,node_aware,1.0,120.0,180.0,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.75536882582765,224.43065602721913,148.70103640789534,0.33528170523052586,False,60,60,0,44,59,0,0,175.01985972620764,8.137082365543208,0.10033899999939422,0.003327444,0,0.0,0.0009582079946994781,0.009215833153575659,0.004055957775563002
100,3,1,node_drain,1.0,120.0,180.0,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.75536882582765,443.5107376516552,146.87673414322728,0.3311683837034585,False,100,100,0,44,64,0,0,179.01664856995046,8.137082365543208,0.10033899999939422,0.00372447,0,0.0,0.0009582079946994781,0.009722750168293715,0.004944833926856518
316,8,1,node_aware,1.0,120.0,180.0,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,666.9586547283448,254.5971628713594,0.19166848284270968,False,176,176,0,91,129,0,0,179.70034507911555,11.207333625129134,0.10033899999939422,0.007275047,0,0.0,0.002525624819099903,0.026117249857634306,0.009000041987746954
316,8,1,node_drain,1.0,120.0,180.0,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1328.3204369092405,304.19467403974363,0.22900699679630707,False,316,316,0,114,173,0,0,179.55240940105776,8.138109357543208,0.10033899999939422,0.010534583,0,0.0,0.002525624819099903,0.03154520923271775,0.015497959218919277
1000,25,4,node_aware,1.0,120.0,180.0,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,2073.282441817457,538.0606155702126,0.12982110939347305,False,531,531,0,211,309,1,1,179.6924420931155,13.524725244964849,0.10033899999939422,0.017349568,0,0.0,0.007229041773825884,0.08872224995866418,0.031841584015637636
1000,25,4,node_drain,1.0,120.0,180.0,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,2838.0089040670273,693.8316680601138,0.1674049247860885,False,696,696,0,266,386,1,1,179.56064589705778,8.137595861543218,0.10033899999939422,0.02263671,0,0.0,0.007229041773825884,0.09619275014847517,0.04063620790839195
3162,77,10,node_aware,1.0,120.0,180.0,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062882,6521.441748969299,1695.763430416384,0.1300160987184768,False,1657,1657,0,686,1022,0,0,179.69717763011542,11.205518782129133,0.10033899999939422,0.056291542,0,0.0,0.023269415833055973,0.36282579228281975,0.18131512496620417
3162,77,10,node_drain,1.0,120.0,180.0,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062882,7816.229883540314,1940.502912613978,0.14878055141686886,False,1946,1946,0,776,1151,0,0,179.5519963760578,8.137405397543198,0.10033899999939422,0.065347049,0,0.0,0.023269415833055973,0.3979757088236511,0.2111582080833614
10000,241,31,node_aware,1.0,120.0,180.0,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,20575.99337517666,4838.562204174836,0.11759323300099891,False,5255,5255,0,2023,3025,0,1,179.68808079011552,11.20729217712913,0.10033899999939422,0.166485233,0,0.0,0.07278004195541143,1.7520273332484066,1.1224803747609258
10000,241,31,node_drain,1.0,120.0,180.0,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,21547.270229178976,5663.420656141141,0.1376400502251786,False,5440,5440,0,2299,3386,1,1,179.55253030005775,8.137082365543208,0.10033899999939422,0.186518278,0,0.0,0.07278004195541143,1.720173040870577,1.122800167184323
31623,760,95,node_aware,1.0,120.0,180.0,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,65004.83395296466,15233.822914794553,0.11718522138565875,False,16551,16551,0,6421,9740,0,0,179.6981534201155,11.206320665791832,0.10033899999939422,0.533267112,0,0.0,0.2286759577691555,11.011920290999115,8.876389666926116
31623,760,95,node_drain,1.0,120.0,180.0,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,65973.32589964378,17663.952973742184,0.13587884350182225,False,16727,16727,0,7235,10771,0,0,179.55962401205778,8.137082365543208,0.10033899999939422,0.588375286,0,0.0,0.2286759577691555,7.270195417106152,5.300955624785274
100000,2403,301,node_aware,1.0,120.0,180.0,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,205536.37323862343,46424.18798606354,0.11293597091312531,False,52337,52337,0,19665,29768,0,0,179.69690373511543,11.207292177129126,0.10033899999939422,1.632996642,0,0.0,0.7741170418448746,77.53907362511382,69.76602362515405
100000,2403,301,node_drain,1.0,120.0,180.0,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,205926.74959706195,55532.37072966527,0.13509341740872435,False,52272,52272,0,22760,33953,0,0,179.70239731678217,8.137082365543208,0.10033899999939422,1.850782393,0,0.0,0.7741170418448746,58.06585745885968,50.839732457883656
